,Title,Abstract,Accept
10,"Land Use Planning for Development of Environmentally Sensitive Areas: Case Study of St. Martin's Island, Bangladesh","St. Martin's Island with a total area of about eight sq. km is the only coral bearing island of Bangladesh. The ecosystem of the island is facing environmental threat due to excessive tourism during the last few years. Coastal erosion, coral extraction, domestic pollution, unplanned physical development and destructive fishing techniques are the major environmental threats occurring due to uncontrolled tourism activities. With the assault of unregulated tourism, the pressure on the scanty land of the island is ever increasing. The island has been identified as an environmentally sensitive area. The special importance of this island requires developmental control and management tools to prevent haphazard and unplanned development. In this study, a viable land use plan was proposed to protect the Island from further environmental degradation. © 2010, JAPAN SECTION OF THE REGIONAL SCIENCE ASSOCIATION INTERNATIONAL. All rights reserved.",NA
11,A model of collaborative programming to address wildlife issues: The northeast wildlife damage management research and outreach cooperative,"Wildlife abundance has grown for several species that are adapted to human-dominated landscapes. Overabundant wildlife may cause nuisance concerns and property damage, or spread zoonotic diseases such as West Nile virus, particularly at the suburban-rural interface of many communities. Consequently, wildlife damage management has become an important component of the wildlife profession. The complicated biological and human dimensions of human-wildlife conflicts often require partnerships between state and federal agencies, universities, local governments, communities, and private wildlife control professionals. The Northeast Wildlife Damage Management Research and Outreach Cooperative (WDM Coop) was formed to enhance coordination and collaboration among wildlife agencies, universities, and other cooperators to promote consistent, multi-state approaches for resolving wildlife-related concerns. During 2001-2004, 12 projects have been funded to examine issues associated with white-tailed deer (Odocoileus virginianus), black bear (Ursus americanus), Canada geese (Branta canadensis), and beaver (Castor canadensis). These projects have focused on a diverse array topics from community-based efforts to control deer populations, to aversive conditioning techniques for black bears. The Northeast Fish and Wildlife Agency Directors decided to exclude projects focusing on zoonotic diseases and human health issues from the list of WDM Coop activities. There have been focused efforts concerning human dimensions inquiry and outreach publications for wildlife management professionals. As state fish and wildlife agency budgets grow tighter and staff numbers are reduced, we believe more regional centers or wildlife management cooperatives will be formed to meet the increasing demand for services from multiple states with shared issues and concerns. © 2005 Springer Science + Business Media, Inc.",NA
12,Marine turtles of Brazil: The history and structure of Projeto TAMAR-IBAMA,"Projeto TAMAR-IBAMA, jointly administered by the Government of Brazil and the non-governmental organization Fundacao Pro-TAMAR, has established 18 conservation stations which cover 1100 km of the Brazilian mainland coast (in the states of Sao Paulo, Rio de Janeiro, Espirito Santo, Bahia, Sergipe, and Ceara). In the oceanic islands of Fernando de Noronha, Atol das Rocas, and Trindade, only the first has a permanently staffed station. The program was initiated in 1980 to investigate and implement a program for the conservation of sea turtles. As a direct result of TAMAR's efforts, the harvest of gravid females and of eggs has ceased in all major nesting areas. The success of the program is based on local participation of the fishing villages, including the employment of former egg poachers to patrol the beaches and protect the nests, education programs, and ecotourism. The majority of stations are staffed year round and not only promote the conservation of endangered sea turtles, but also organize community festivals, support local schools and health care facilities, and assist in developing alternative sources of income for residents who once relied on the exploitation of sea turtles. A similar effort to protect coastal feeding areas where incidental capture is high was initiated in 1991.",NA
13,"Chaos, complexity and community management of fisheries",[No abstract available],NA
14,The renaissance of community-based marine resource management in Oceania,"Twenty-five years ago, the centuries-old Pacific Island practice of community-based marine resource management (CBMRM) was in decline, the victim of various impacts of westernization. During the past two decades, however, this decline has reversed in various island countries. Today CBMRM continues to grow, refuting the claim that traditional non-Western attitudes toward nature cannot provide a sound foundation for contemporary natural resource management. Limited entry, marine protected areas, closed areas, closed seasons, and restrictions on damaging or overly efficient fishing methods are some of the methods being used. Factors contributing to the upsurge include a growing perception of scarcity, the restrengthening of traditional village-based authority, and marine tenure by means of legal recognition and government support, better conservation education, and increasingly effective assistance, and advice from regional and national governments and NGOs. Today's CBMRM is thus a form of cooperative management, but one in which the community still makes and acts upon most of the management decisions.",NA
15,Evaluation of the effectiveness of three underwater reef fish monitoring methods in Fiji,"Locally based and volunteer-based monitoring approaches have recently received greater attention as a cost-effective way to collect data on the environment and/or involve stakeholders in management. The present study compared three monitoring methods based on an underwater visual census (UVC) of reef fish in a customary area in Navakavu (Viti Levu Island, Fiji). Two non-scientific approaches involved (1) snorkellers from the village using vernacular names for five local focal fish taxa and (2) non-resident volunteers using the Reef Check target list of fish for the Indo-Pacific (nine focal taxa). These approaches were cross-checked with a comprehensive scientific survey (all fish recorded at the species level across 12 families). The three methods were compared in terms of accuracy, precision, and ability to highlight changes in fish abundance between the community-managed no-take zone (NTZ) and the fished area. We found that scientific and volunteer-based data were consistent in terms of means and variance of abundance estimates but that Reef Check focal taxa would not be suitable for monitoring the Navakavu marine area. On the contrary, the locally selected target taxa were appropriate but overestimates and imprecision were noticed in the fish counts made by the community members. Differences in abundance of two major target taxa (Lethrinidae and Mullidae) between the NTZ and the harvest area were not validated by the scientific observations. Calibration of community-based UVC is thus needed especially if information from the local biological monitoring program is used to guide management actions. © Springer Science+Business Media B.V. 2009.",NA
16,Socio-economic impacts of shrimp culture,"Farmed shrimp contributed 27% of total world shrimp production in 1995 with a volume of 712 000 tonnes. Undoubtedly, the shrimp culture industry earns valuable foreign exchange for developing countries and generates jobs across the industry from fry gatherers to growers and processors. However, grave socio-economic consequences - including conversion, expropriation and privatization of mangroves and other lands; salinization of water and soil; decline in food security; marginalization of coastal communities, unemployment and urban migration; and social conflicts - have followed in the wake of shrimp farm development in the Philippines and other tropical countries. The paper focuses on mangrove ecosystems: the valuation and cost-benefit analysis of their goods and services, and the mangrove-offshore fisheries connection. Research gaps in these areas and the need to internalize the ecological and socio-economic costs ('externalities') of shrimp farming are highlighted. Other recommendations include mangrove conservation and rehabilitation, enforcement of existing legislation, and introduction of environment-friendly aquaculture within the broader framework of community-based, integrated coastal area management, e.g. the traditional, extensive polyculture ponds in Indonesia.",NA
17,Community-based scenario planning: a process for vulnerability analysis and adaptation planning to social–ecological change in coastal communities,"The current and projected impacts of climate change make understanding the environmental and social vulnerability of coastal communities and the planning of adaptations important international goals and national policy initiatives. Yet, coastal communities are concurrently experiencing numerous other social, political, economic, demographic and environmental changes or stressors that also need to be considered and planned for simultaneously to maintain social and environmental sustainability. There are a number of methods and processes that have been used to study vulnerability and identify adaptive response strategies. This paper describes the stages, methods and results of a modified community-based scenario planning process that was used for vulnerability analysis and adaptation planning within the context of multiple interacting stressors in two coastal fishing communities in Thailand. The four stages of community-based scenario planning included: (1) identifying the problem and purpose of scenario planning; (2) exploring the system and types of change; (3) generating possible future scenarios; and (4) proposing and prioritizing adaptations. Results revealed local perspectives on social and environmental change, participant visions for their local community and the environment, and potential actions that will help communities to adapt to the changes that are occurring. Community-based scenario planning proved to have significant potential as an anticipatory action research process for incorporating multiple stressors into vulnerability analysis and adaptation planning. This paper reflects on the process and outcomes to provide insights and suggest changes for future applications of community-based scenario planning that will lead to more effective learning, innovation and action in communities and related social–ecological systems. © 2015, Springer Science+Business Media Dordrecht.",NA
18,Emergence of co-management governance for Hawai'i coral reef fisheries,"Governance failures associated with top-down management have spawned a myriad of institutional arrangements to engage resource users in decision-making through co-management. Although co-management can take many forms and may not always lead to positive outcomes, it has emerged as a promising governance option available to meet social and ecological goals. Recent research on co-management of small-scale fisheries has used comparative approaches to test factors associated with social and ecological success. Less is known however, about how co-management institutional arrangements emerge and persist in the face of socioeconomic and environmental change. Here, we examine the emergence of co-management governance using a case study from coral reef fisheries in the Hawaiian Islands. We used a mixed methods approach, combining a robust policy analysis and a set of key respondent interviews to trace the evolution of this co-management arrangement. Our research uncovers a set of linked drivers and social responses, which together comprise the emergence phase for the evolution of co-management in this case study. Drivers include resource depletion and conflict, and social responses comprise self-organization, consensus building, and collective action. We share insights on key factors that affect these phases of emergence, drawing on empirical findings from our policy review and key respondent interviews. We conclude by describing ways that our findings can directly inform policy and planning in practice, including the importance of documenting the 'creation story' that spawned the new institutional arrangement, ensuring that enabling conditions are present, the complexity of defining community, the connection between process legitimacy and outcomes, and understanding the costs and timelines associated with co-management governance transitions. © 2014 Elsevier Ltd.",NA
19,Community-based fishery management. Towards the restoration of traditional practices in the South Pacific,[No abstract available],NA
20,Indigenous knowledge in the beach seine fisheries in Sri Lanka: An indispensable factor in community-based fisheries management,"Small-scale fishing over the globe is based primarily on fisher indigenous knowledge (IK), accumulated through many generations of close interactions between people and the natural world. Community-based beach seine fisher communities of southern Sri Lanka were studied through standard ethnographic methods to ascertain the traditional method in using fishers' IK, and explore empirically the accuracy in using those methods distilled from the traditional fishers. Study revealed that, inter alia, traditional fishers use IK to predict the commencement of fishing season, and identify and quantify the species composition occurring at their fishing territory. Ten traditional methods those which are important for identifying and quantifying the fish school were distilled. Explored methods frequently used by traditional fishers were based on the changes of seawater color (folk oceanography) and the behaviour of sea terns (Sterna sp.). Traditional fishers' responses on frequency of utility of explored methods in day-to-day fishing activities were in accordance with the findings of the empirical study. Moreover, principal component analysis (PCA) revealed that PC score loading in fishers' expectation and fishers' realization had a positive significant relationship (r=0.814, p<0.001). This indicated that traditional fishers' expectation on composition and quantity of fish school arriving at fishing territory (ex-ante) is accurate and reliable at the realization (ex-post). As such, there exist opportunities to fisheries co-management for the coastal fisheries in Sri Lanka, incorporating fishers' indigenous knowledge in resource exploitation. © 2015 Elsevier Ltd.",NA
21,Sustainable financing of a national Marine Protected Area network in Fiji,"Marine Protected Areas (MPA) are mostly studied from an environmental context. A review of available information identified a lack of knowledge in sustainable mechanisms to finance MPA networks. At the United Nations Ocean Conference in 2017, Fiji reaffirmed its voluntary commitment to make 30% of its inshore and offshore marine area MPAs by 2020 under Sustainable Development Goal 14. The work presented here uses empirical data to explore potential benefits from selected community-based MPAs to recipient local stakeholders. A Willingness to Pay (WTP) and Willingness to Contribute Time (WtCT) method was used to explore the extent to which bottom-up governance systems represent a potential financing mechanism of a MPA network. Results of 115 interviews concluded that proximity to a fishing market, dependence on marine resources, food security, income and international commitments were significant variables influencing stakeholder's WTP and WtCT to manage a MPA. We argue that there is a discrepancy between WtCT and WTP driven by income constraints. Thus, by using WTP and WtCT to support financing of a MPA network, a Provincial Trust Fund (PTF) could promote an equitable and benefits-based contribution. Equally important, a PTF has a polycentric and decentralized governance model, which endorses sustainable management of traditional fishing communities. The conclusions provide insight into a bottom-up approach for long-term financial sustainability of Fiji's national MPA commitments. © 2018 Elsevier Ltd",NA
22,"Scaling up of eco-bio-social strategy to control aedes aegypti in highly vulnerable areas in Fortaleza, Brazil: A cluster, non-randomized controlled trial protocol","Aedes aegypti is a cosmopolitan vector for arboviruses dengue, Zika and chikungunya, disseminated in all Brazilian states. The Eco-Bio-Social (EBS) strategy is vital in Aedes aegypti control as it mobilizes stakeholders (government, professionals, society, and academics) to promote healthy environments. This paper describes the rationale and methods of expanding the EBS strategy for Aedes aegypti control in Fortaleza, Northeast Brazil. A cluster, non-randomized controlled clinical trial was developed to analyze the strategy’s effectiveness in vulnerable territories (high incidence of dengue and violent deaths; low HDI; substandard urban infrastructure, high population density, and water scarcity). We selected two intervention and two control groups, resulting in a sample of ap-proximately 16,000 properties. The intervention consisted of environmental management by sealing large elevated water tanks, introduction of beta fish in waterholes, elimination of potential breeding sites, and mobilization and training of schoolchildren, endemic disease workers, health workers, social mobilizers, and community leaders; community surveillance of arboviruses; construction and validation of a booklet for the prevention of arboviruses in pregnant women. We analyzed the costs of arboviruses to government and households, the intervention cost-effectiveness, chikungunya’s chronicity, and acceptance, sustainability, and governance of vector control actions. The primary outcome (infestation) was analyzed using the house, container, and Breteau indices. We hope that this study will help us understand how to scale up strategies to fight Aedes aegypti in vulnerable areas. © 2021 by the authors. Licensee MDPI, Basel, Switzerland.",NA
23,Differential impacts of coral reef herbivores on algal succession in Kenya,"In shallow-water systems, fisheries management influences herbivory, which mediates ecosystem processes by regulating algal biomass, primary production, and competition between benthic organisms, such as algae and corals. Sea urchins and herbivorous fishes (scrapers, grazers, browsers) are the dominant herbivores in Kenya's fringing coral reef and their grazing influences coral-macroalgal dynamics and dominance. Using experimental substrata and grazer exclusions, we tested the hypothesis that herbivores differentially affect algal composition and succession using 3 levels of fisheries management: fished reefs, community-managed closures (&lt;10 yr old, &lt;0.5 km2), and government-managed closures (20 to 40 yr old, 5 to 10 km2). In fished reefs and government closures, herbivores facilitated maintenance of early successional algal species, such as turfs, associated with sea urchins in the former and scraping fishes in the latter. Crustose coralline algae were only abundant in government closures, and video recordings showed that fish grazing was greatest at these sites, most notably for parrotfishes (scrapers). A combination of sea urchins and small grazing and detritivorous fishes was present in community closures, which allowed macroalgae to quickly develop from turf into early then late successional stages. These reefs may represent an intermediate or transitional system of herbivore dominance characterized by macroalgae. Consequently, reefs in heavily fished seascapes initially protected from fishing may require additional management efforts to facilitate the recovery of larger-bodied scraping fishes, including bans on capturing parrotfishes and restricting gear (e.g. spearguns) that target these species. © Inter-Research 2014.",NA
24,Characterization of an artisanal fishery in Argentina using the social-ecological systems framework,"Institutional Analysis and Development (IAD) studies how institutions (the rules of the game of a society) determine the performance of a social-economic system. Elinor Ostrom extends the institutional analysis to the collective action for a particular case, the study of the social-ecological systems (SESs) (Ostrom 1990). Any group that attempts to manage a common resource (e.g. aquifers, pastures) for optimal sustainable production must solve a set of problems in order to create institutions to facilitate collective action. Some evidences show that following a set of design principles in creating institutions can lead to overcome these problems. The aim of the paper is to apply the SES framework to an artisanal fishery community in Argentina in order to: 1) describe the principal features, key variables and relations of the small-scale fishery system; 2) detect the principal drivers of a potential common-management and the leading detractors from the current communal performance; and 3) analyze the possibility that a self-governing for sustainable fishery may appear. Several drivers for potential common-management and some detractors from the current common performance are summarized. Artisanal fishery SES is currently at a bifurcation point. A common historical and cultural root, the presence of leaderships, the relevance of local knowledge, the dependence on the resource to sustainable livelihoods and the threat of big-scale fisheries area have generated incentives to collectiveaction. But, simultaneously, internal conflicts are the most important barrier for an integrated community-based management. The heterogeneity among actors and the relevant external conditions have resulted in two groups diverging in their self-organization. The work is framed by the project COMET-LA (COmmunitybased Management of Environmental challenges in Latin America; European Commission’s Seventh Framework Programme of Research and Development), which aims to identify sustainable community-based governance for the management of natural resources that can be used in different social-ecological systems in a context of climate change and increasing competition in the use of resources. © 2017, Igitur, Utrecht Publishing and Archiving Services. All rights reserved.",NA
25,Application of the Ostrom framework in the analysis of a social-ecological system with multiple resources in a marine protected area,"The framework proposed by Ostrom (2009) has become one of the most utilized tools to address the complexity of social-ecological systems. Most cases use this framework to analyze the systems from the perspective of a single resource unit. However, the livelihoods in several coastal communities are diverse, so that the users interact with multiple common-pool resources, which makes their analysis difficult. In this sense, it is important to identify the key elements of management to achieve the sustainable use of the resources. In this study, we were able to do this in a coastal community where commercial fishing, ecotourism, and recreational fishing coexist. The system of interest, located in the state of Quintana Roo, Mexico, was subdivided by resource type using a multi-method approach to data collection including surveys, interviews, and records review. A conceptual map was developed that shows how the second-tier variables are integrated through the governance and actors with the biophysical system. The actors involved in lobster fishing achieved a more complex governance system, followed by the ecotourism and recreational fishing; the complexity of the governance was related with the equity level of the actors. The analysis revealed the research gaps to develop management strategies and improve the sustainability of the system. Copyright © 2019 Palomo and Hernández-Flores.",NA
