,Title,Abstract,Accept,Accept - SC1: The study must include at least one case study of CBFM in a Pacific Island country,Rationale - SC1: The study must include at least one case study of CBFM in a Pacific Island country,Thoughts - SC1: The study must include at least one case study of CBFM in a Pacific Island country,Accept - SC2: Only studies with fisheries related examples. Papers that refer to broader marine resource management to be included if they still include a focus on fisheries management.,Rationale - SC2: Only studies with fisheries related examples. Papers that refer to broader marine resource management to be included if they still include a focus on fisheries management.,Thoughts - SC2: Only studies with fisheries related examples. Papers that refer to broader marine resource management to be included if they still include a focus on fisheries management.,"Accept - SC3: Only studies related to community-based management (i.e., not government-based management or co-management). The definition of community-based management here is “an approach to fisheries management that gives coastal communities and fishers primary responsibility for managing their coastal resources”. While co-management can include community-led approaches , to minimise reviewer bias and interpretation, please use the language that the authors use in the paper (i.e., if they call it CBM/CBFM, include it. If they refer to it as co-management whereby there is equal power between government and community to manage - don’t include it). ","Rationale - SC3: Only studies related to community-based management (i.e., not government-based management or co-management). The definition of community-based management here is “an approach to fisheries management that gives coastal communities and fishers primary responsibility for managing their coastal resources”. While co-management can include community-led approaches , to minimise reviewer bias and interpretation, please use the language that the authors use in the paper (i.e., if they call it CBM/CBFM, include it. If they refer to it as co-management whereby there is equal power between government and community to manage - don’t include it). ","Thoughts - SC3: Only studies related to community-based management (i.e., not government-based management or co-management). The definition of community-based management here is “an approach to fisheries management that gives coastal communities and fishers primary responsibility for managing their coastal resources”. While co-management can include community-led approaches , to minimise reviewer bias and interpretation, please use the language that the authors use in the paper (i.e., if they call it CBM/CBFM, include it. If they refer to it as co-management whereby there is equal power between government and community to manage - don’t include it). ","Accept - SC4: Only studies that are likely to contain either information on the benefits of CBFM, or barriers the to CBFM. Accept the paper if either criteria is met.","Rationale - SC4: Only studies that are likely to contain either information on the benefits of CBFM, or barriers the to CBFM. Accept the paper if either criteria is met.","Thoughts - SC4: Only studies that are likely to contain either information on the benefits of CBFM, or barriers the to CBFM. Accept the paper if either criteria is met.",Bad Parsing - SC2
15,Evaluation of the effectiveness of three underwater reef fish monitoring methods in Fiji,"Locally based and volunteer-based monitoring approaches have recently received greater attention as a cost-effective way to collect data on the environment and/or involve stakeholders in management. The present study compared three monitoring methods based on an underwater visual census (UVC) of reef fish in a customary area in Navakavu (Viti Levu Island, Fiji). Two non-scientific approaches involved (1) snorkellers from the village using vernacular names for five local focal fish taxa and (2) non-resident volunteers using the Reef Check target list of fish for the Indo-Pacific (nine focal taxa). These approaches were cross-checked with a comprehensive scientific survey (all fish recorded at the species level across 12 families). The three methods were compared in terms of accuracy, precision, and ability to highlight changes in fish abundance between the community-managed no-take zone (NTZ) and the fished area. We found that scientific and volunteer-based data were consistent in terms of means and variance of abundance estimates but that Reef Check focal taxa would not be suitable for monitoring the Navakavu marine area. On the contrary, the locally selected target taxa were appropriate but overestimates and imprecision were noticed in the fish counts made by the community members. Differences in abundance of two major target taxa (Lethrinidae and Mullidae) between the NTZ and the harvest area were not validated by the scientific observations. Calibration of community-based UVC is thus needed especially if information from the local biological monitoring program is used to guide management actions. © Springer Science+Business Media B.V. 2009.",No,No,The study does not meet the screening criteria as it does not include a case study of CBFM in a Pacific Island country.," No; The abstract does not mention CBFM.
ReflectionThe study focuses on comparing three monitoring methods for underwater reef fish, and does not mention any specific community-based fisheries management (CBFM) interventions.",Maybe,"While the abstract mentions reef fish and fish abundance, it also references monitoring approaches for the environment, making the focus of the study unclear."," Yes; The abstract mentions underwater visual census of reef fish, fish abundance estimates, and monitoring approaches for reef fish in Fiji.

ReflectionThe abstract mentions reef fish and fish abundance, indicating a focus on fisheries management. However, it does not explicitly state that the study is solely focused on fisheries management, as it also mentions monitoring approaches for the environment.",Maybe,"The abstract does not provide enough information to determine if the study solely focuses on community-based management. However, the mention of ""volunteer-based monitoring approaches"" and ""involving stakeholders in management"" may suggest a community-based approach."," Maybe; The abstract does not mention explicitly whether the study is related to community-based management or not.
ReflectionThe abstract mentions ""community members"" and ""customary area"" but does not provide a clear definition or indication that the study is solely focused on community-based management. However, the use of ""volunteer-based monitoring approaches"" and ""involving stakeholders in management"" may suggest a community-based approach.",No,"The paper does not meet the screening criteria as it does not address CBFM, its benefits, or barriers to its implementation."," No; The paper does not mention CBFM, benefits or barriers.
ReflectionThe screening criteria are focused on papers that discuss CBFM, its benefits, or barriers to its implementation. The title and abstract of this paper do not mention CBFM at all, and so it seems unlikely that the paper will meet the screening criteria.",
16,Socio-economic impacts of shrimp culture,"Farmed shrimp contributed 27% of total world shrimp production in 1995 with a volume of 712 000 tonnes. Undoubtedly, the shrimp culture industry earns valuable foreign exchange for developing countries and generates jobs across the industry from fry gatherers to growers and processors. However, grave socio-economic consequences - including conversion, expropriation and privatization of mangroves and other lands; salinization of water and soil; decline in food security; marginalization of coastal communities, unemployment and urban migration; and social conflicts - have followed in the wake of shrimp farm development in the Philippines and other tropical countries. The paper focuses on mangrove ecosystems: the valuation and cost-benefit analysis of their goods and services, and the mangrove-offshore fisheries connection. Research gaps in these areas and the need to internalize the ecological and socio-economic costs ('externalities') of shrimp farming are highlighted. Other recommendations include mangrove conservation and rehabilitation, enforcement of existing legislation, and introduction of environment-friendly aquaculture within the broader framework of community-based, integrated coastal area management, e.g. the traditional, extensive polyculture ponds in Indonesia.",No,No,the paper does not meet the SC as it does not include any case study of CBFM in a Pacific Island country.," No; the abstract does not mention any case study or CBFM in a Pacific Island country.
ReflectionThe focus of the paper is on the socio-economic impacts of shrimp culture, and it does not appear to relate to the SC.",Maybe,"The abstract mentions shrimp culture as an example of socioeconomic impacts on fisheries, but also includes broader marine resource management issues. It is unclear if the focus is solely on fisheries management or if it includes a broader perspective."," Maybe; The abstract mentions shrimp culture as an example of the socioeconomic impacts on fisheries. However, the abstract also includes broader marine resource management issues such as the conversion and privatization of mangroves, decline in food security, and social conflicts. 
ReflectionThe SC asks for studies with fisheries related examples, but also allows for broader marine resource management if it includes a focus on fisheries management. The abstract does mention shrimp culture, but also includes broader issues that may or may not be related to fisheries management.",No,There is no mention of community-based management in the abstract.," No; The abstract does not mention community-based management.
ReflectionThe abstract focuses on the socio-economic consequences of shrimp farming and does not mention anything related to community-based management.",Maybe,"The paper may contain information on barriers to CBFM, but it is not explicitly mentioned in the title or abstract."," Maybe; The abstract does not explicitly mention CBFM (community-based fisheries management), but it does discuss the socio-economic impacts of shrimp culture which may include information on barriers to CBFM. 
ReflectionThe title and abstract do not mention CBFM specifically, but it is possible that the paper may still contain information on barriers to CBFM.",
17,Community-based scenario planning: a process for vulnerability analysis and adaptation planning to social–ecological change in coastal communities,"The current and projected impacts of climate change make understanding the environmental and social vulnerability of coastal communities and the planning of adaptations important international goals and national policy initiatives. Yet, coastal communities are concurrently experiencing numerous other social, political, economic, demographic and environmental changes or stressors that also need to be considered and planned for simultaneously to maintain social and environmental sustainability. There are a number of methods and processes that have been used to study vulnerability and identify adaptive response strategies. This paper describes the stages, methods and results of a modified community-based scenario planning process that was used for vulnerability analysis and adaptation planning within the context of multiple interacting stressors in two coastal fishing communities in Thailand. The four stages of community-based scenario planning included: (1) identifying the problem and purpose of scenario planning; (2) exploring the system and types of change; (3) generating possible future scenarios; and (4) proposing and prioritizing adaptations. Results revealed local perspectives on social and environmental change, participant visions for their local community and the environment, and potential actions that will help communities to adapt to the changes that are occurring. Community-based scenario planning proved to have significant potential as an anticipatory action research process for incorporating multiple stressors into vulnerability analysis and adaptation planning. This paper reflects on the process and outcomes to provide insights and suggest changes for future applications of community-based scenario planning that will lead to more effective learning, innovation and action in communities and related social–ecological systems. © 2015, Springer Science+Business Media Dordrecht.",No,No,there is no mention of CBFM in a Pacific Island country in the title or abstract.," No; the abstract does not mention a case study of CBFM in a Pacific Island country.
ReflectionThe study described in the abstract does not seem to meet the Screening Criteria as it does not mention CBFM or a Pacific Island country in the title or abstract.",Maybe,"The abstract mentions coastal fishing communities, but it is not clear whether the paper focuses on fisheries management. Further review of the full paper is needed to determine if it meets the screening criteria."," Maybe; The abstract mentions coastal fishing communities, but it is not clear whether the paper focuses on fisheries management. 
ReflectionThe SC requires that the paper should only include fisheries related examples, or broader marine resource management if they still include a focus on fisheries management. The abstract mentions coastal fishing communities, but it is not clear whether the paper focuses on fisheries management.",Yes,"The paper describes a process that involves community participation in vulnerability analysis and adaptation planning, aligning with the definition of community-based management provided in the SC."," Maybe; The paper does not explicitly mention community-based management, but it does describe a process that involves community participation in vulnerability analysis and adaptation planning.
ReflectionThe paper does not use the term ""community-based management,"" but it does align with the definition provided in the SC by giving coastal communities primary responsibility for managing their resources. Additionally, the paper emphasizes community participation in the process.",No,The paper is not relevant to the screening criteria as it doesn't mention CBFM.," No; The paper doesn't mention CBFM at all.
ReflectionThe paper doesn't mention CBFM at all and is therefore not relevant to the screening criteria.",
18,Emergence of co-management governance for Hawai'i coral reef fisheries,"Governance failures associated with top-down management have spawned a myriad of institutional arrangements to engage resource users in decision-making through co-management. Although co-management can take many forms and may not always lead to positive outcomes, it has emerged as a promising governance option available to meet social and ecological goals. Recent research on co-management of small-scale fisheries has used comparative approaches to test factors associated with social and ecological success. Less is known however, about how co-management institutional arrangements emerge and persist in the face of socioeconomic and environmental change. Here, we examine the emergence of co-management governance using a case study from coral reef fisheries in the Hawaiian Islands. We used a mixed methods approach, combining a robust policy analysis and a set of key respondent interviews to trace the evolution of this co-management arrangement. Our research uncovers a set of linked drivers and social responses, which together comprise the emergence phase for the evolution of co-management in this case study. Drivers include resource depletion and conflict, and social responses comprise self-organization, consensus building, and collective action. We share insights on key factors that affect these phases of emergence, drawing on empirical findings from our policy review and key respondent interviews. We conclude by describing ways that our findings can directly inform policy and planning in practice, including the importance of documenting the 'creation story' that spawned the new institutional arrangement, ensuring that enabling conditions are present, the complexity of defining community, the connection between process legitimacy and outcomes, and understanding the costs and timelines associated with co-management governance transitions. © 2014 Elsevier Ltd.",No,No,The study does not meet the SC because it does not include a case study of CBFM in a Pacific Island country.," No; The study is focused on coral reef fisheries in Hawaiian Islands, not a Pacific Island country.
ReflectionThe SC specifies that the study must be a case study of CBFM in a Pacific Island country. The study in the abstract is focused on coral reef fisheries in Hawaiian Islands but does not mention any Pacific Island country.",Maybe,"The paper includes a fisheries-related example, but also mentions broader marine resource management through co-management and governance. It may still fit the SC criteria, but further reading of the paper may be necessary to determine its relevance."," Yes; The title and abstract clearly mention coral reef fisheries in Hawai'i, which is a fisheries-related example.

ReflectionThe SC is looking for studies that focus on fisheries management, but also includes broader marine resource management if it still includes a focus on fisheries management. The title and abstract mention coral reef fisheries, which is a type of fisheries management, but the abstract also mentions co-management and governance, which could be considered broader marine resource management.",Maybe,"Without further clarification on the type of co-management used, it's unclear whether the study meets the screening criteria."," Maybe; The abstract mentions co-management, so it's unclear whether the study meets the screening criteria.
ReflectionThe definition of community-based management is given as an approach to fisheries management that gives coastal communities and fishers primary responsibility for managing their coastal resources. The abstract mentions co-management, but it's unclear whether this refers to a government-community partnership or a community-led approach.",No,The paper does not meet the screening criteria as it does not contain information on the benefits or barriers to CBFM.," No; The abstract does not mention CBFM, benefits or barriers.
ReflectionThe abstract is discussing the emergence of co-management governance in Hawaiian coral reef fisheries, which is not directly related to CBFM.",
19,Community-based fishery management. Towards the restoration of traditional practices in the South Pacific,[No abstract available],Yes,Maybe,"Without an abstract, it is difficult to determine whether the paper includes a case study of CBFM in a Pacific Island country."," Maybe; The title suggests that the paper may include a case study of CBFM in a Pacific Island country.
ReflectionThe title suggests that the paper may discuss the restoration of traditional practices in the South Pacific, which could potentially include CBFM case studies.",Maybe,It is not possible to determine whether the paper meets the screening criteria without an abstract.," Maybe; The title suggests a focus on fisheries management but no information is available in the abstract to confirm this.

ReflectionThe title implies a focus on community-based fishery management, which is likely to involve a specific focus on fisheries management. However, without an abstract, it is difficult to determine whether the paper meets the screening criteria.",Maybe,"Without an abstract available, it is unclear if the study meets the definition provided for community-based management in the SC."," Maybe; The title mentions ""community-based fishery management"" but there is no abstract available to confirm if it meets the definition provided for community-based management in the SC.
ReflectionThe title suggests that the study may be related to community-based management, but without an abstract it is impossible to confirm if it meets the definition provided in the SC.",Maybe,"Without an abstract, it is unclear whether the study meets the screening criteria. Further information is needed."," No; The title and abstract do not provide enough information to determine if the study meets the screening criteria.

ReflectionThe title mentions community-based fishery management, but it is unclear whether the study will address the benefits or barriers of CBFM. Without an abstract, it is difficult to determine if the study meets the screening criteria.",
20,Indigenous knowledge in the beach seine fisheries in Sri Lanka: An indispensable factor in community-based fisheries management,"Small-scale fishing over the globe is based primarily on fisher indigenous knowledge (IK), accumulated through many generations of close interactions between people and the natural world. Community-based beach seine fisher communities of southern Sri Lanka were studied through standard ethnographic methods to ascertain the traditional method in using fishers' IK, and explore empirically the accuracy in using those methods distilled from the traditional fishers. Study revealed that, inter alia, traditional fishers use IK to predict the commencement of fishing season, and identify and quantify the species composition occurring at their fishing territory. Ten traditional methods those which are important for identifying and quantifying the fish school were distilled. Explored methods frequently used by traditional fishers were based on the changes of seawater color (folk oceanography) and the behaviour of sea terns (Sterna sp.). Traditional fishers' responses on frequency of utility of explored methods in day-to-day fishing activities were in accordance with the findings of the empirical study. Moreover, principal component analysis (PCA) revealed that PC score loading in fishers' expectation and fishers' realization had a positive significant relationship (r=0.814, p<0.001). This indicated that traditional fishers' expectation on composition and quantity of fish school arriving at fishing territory (ex-ante) is accurate and reliable at the realization (ex-post). As such, there exist opportunities to fisheries co-management for the coastal fisheries in Sri Lanka, incorporating fishers' indigenous knowledge in resource exploitation. © 2015 Elsevier Ltd.",No,No,The study does not meet the SC as it is not about CBFM in a Pacific Island country.," No; The study is about indigenous knowledge in beach seine fisheries in Sri Lanka.
ReflectionThe study is not about CBFM in a Pacific Island country. The SC specifies that the study must include at least one case study of CBFM in a Pacific Island country.",Yes,The paper meets the screening criteria as it focuses on the use of indigenous knowledge in fisheries management specifically in Sri Lanka.," Yes; The paper focuses on the use of indigenous knowledge in community-based fisheries management in Sri Lanka. 

ReflectionThe paper specifically talks about the use of indigenous knowledge in beach seine fisheries in Sri Lanka and how it can be incorporated into fisheries co-management. It does not discuss broader marine resource management, but rather focuses solely on fisheries management.",Yes,The use of indigenous knowledge by fishers in managing coastal resources aligns with the definition of community-based management provided in the SC.," Yes; The abstract mentions the use of indigenous knowledge by fishers in managing coastal resources.
ReflectionThe abstract specifically mentions ""community-based beach seine fisher communities"" and how they use indigenous knowledge to manage their resources. While the term ""community-based fisheries management"" is not explicitly used, the actions described match the definition provided in the SC.",Maybe,It is unclear whether the paper meets the screening criteria because it is not explicitly stated whether it provides information on the benefits or barriers of CBFM.," Maybe; The abstract mentions the use of indigenous knowledge in community-based fisheries management, but it is unclear whether it provides information on the benefits or barriers of CBFM.
ReflectionThe abstract discusses the use of indigenous knowledge in community-based fisheries management, but it does not explicitly state whether it provides information on the benefits or barriers of CBFM. It may be necessary to look at the full paper to determine this.",
21,Sustainable financing of a national Marine Protected Area network in Fiji,"Marine Protected Areas (MPA) are mostly studied from an environmental context. A review of available information identified a lack of knowledge in sustainable mechanisms to finance MPA networks. At the United Nations Ocean Conference in 2017, Fiji reaffirmed its voluntary commitment to make 30% of its inshore and offshore marine area MPAs by 2020 under Sustainable Development Goal 14. The work presented here uses empirical data to explore potential benefits from selected community-based MPAs to recipient local stakeholders. A Willingness to Pay (WTP) and Willingness to Contribute Time (WtCT) method was used to explore the extent to which bottom-up governance systems represent a potential financing mechanism of a MPA network. Results of 115 interviews concluded that proximity to a fishing market, dependence on marine resources, food security, income and international commitments were significant variables influencing stakeholder's WTP and WtCT to manage a MPA. We argue that there is a discrepancy between WtCT and WTP driven by income constraints. Thus, by using WTP and WtCT to support financing of a MPA network, a Provincial Trust Fund (PTF) could promote an equitable and benefits-based contribution. Equally important, a PTF has a polycentric and decentralized governance model, which endorses sustainable management of traditional fishing communities. The conclusions provide insight into a bottom-up approach for long-term financial sustainability of Fiji's national MPA commitments. © 2018 Elsevier Ltd",No,Maybe,"The abstract presents a case study on community-based marine protected areas (MPAs) in Fiji, which may or may not qualify as CBFM depending on the definition used. Further clarification is needed to determine if this paper meets the SC."," Maybe; The abstract mentions a case study on community-based MPAs in Fiji, but it is not clear if it qualifies as CBFM.

ReflectionCBFM stands for Community-Based Forest Management, which is a participatory approach to managing and conserving forest resources. This SC could be interpreted in different ways, but it seems to refer to a case study on community-based management of natural resources in a Pacific Island country.",No,"Although the abstract discusses marine protected areas, there is no focus on fisheries management or any specific fisheries related examples."," No; The abstract does not mention anything about fisheries management, only marine protected areas.

ReflectionThe abstract discusses marine protected areas, but does not mention any specific fisheries management practices or examples.",Maybe,"While the paper does not explicitly use the language of community-based management, the focus on bottom-up governance systems and the involvement of local stakeholders suggest that it may be related to community-based management. Further information is needed to make a definitive assessment."," No; The abstract does not mention the term ""community-based management"" or any related terms.
ReflectionThe paper does not explicitly state that it is related to community-based management as defined in the SC. However, it does explore a bottom-up approach to financing marine protected areas, which is consistent with some aspects of community-based management.",Maybe,"While the abstract does not explicitly address barriers to CBFM, the use of a bottom-up governance system and community-based approach could potentially address some common barriers to CBFM."," Maybe; The abstract provides information on potential benefits of community-based MPAs, but does not specifically address barriers to CBFM. 
ReflectionThe abstract mentions the use of a bottom-up governance system as a financing mechanism for a MPA network, but does not explicitly mention barriers to CBFM. However, the use of a community-based approach could potentially address some common barriers to CBFM, such as lack of community involvement or conflicting interests between stakeholders.",
22,"Scaling up of eco-bio-social strategy to control aedes aegypti in highly vulnerable areas in Fortaleza, Brazil: A cluster, non-randomized controlled trial protocol","Aedes aegypti is a cosmopolitan vector for arboviruses dengue, Zika and chikungunya, disseminated in all Brazilian states. The Eco-Bio-Social (EBS) strategy is vital in Aedes aegypti control as it mobilizes stakeholders (government, professionals, society, and academics) to promote healthy environments. This paper describes the rationale and methods of expanding the EBS strategy for Aedes aegypti control in Fortaleza, Northeast Brazil. A cluster, non-randomized controlled clinical trial was developed to analyze the strategy’s effectiveness in vulnerable territories (high incidence of dengue and violent deaths; low HDI; substandard urban infrastructure, high population density, and water scarcity). We selected two intervention and two control groups, resulting in a sample of ap-proximately 16,000 properties. The intervention consisted of environmental management by sealing large elevated water tanks, introduction of beta fish in waterholes, elimination of potential breeding sites, and mobilization and training of schoolchildren, endemic disease workers, health workers, social mobilizers, and community leaders; community surveillance of arboviruses; construction and validation of a booklet for the prevention of arboviruses in pregnant women. We analyzed the costs of arboviruses to government and households, the intervention cost-effectiveness, chikungunya’s chronicity, and acceptance, sustainability, and governance of vector control actions. The primary outcome (infestation) was analyzed using the house, container, and Breteau indices. We hope that this study will help us understand how to scale up strategies to fight Aedes aegypti in vulnerable areas. © 2021 by the authors. Licensee MDPI, Basel, Switzerland.",No,No,The paper does not meet the screening criterion as it does not include any case study of CBFM in a Pacific Island country.," No; The paper is about control of Aedes aegypti in Fortaleza, Brazil, and does not mention any Pacific Island country or CBFM.

ReflectionThe SC requires a case study of CBFM in a Pacific Island country. The paper is not relevant to this criterion as it is about a different topic and location.",No,The paper does not meet the SC as it does not focus on fisheries or marine resource management.," No; The paper is about controlling a mosquito population in a specific region.

ReflectionThe paper is not related to fisheries or marine resource management, so it does not meet the SC.",Maybe,"The paper does not explicitly mention community-based management, but it does involve community mobilization and training of community leaders. It is unclear if the community has primary responsibility for managing coastal resources or if there is equal power between government and the community in managing the resources."," No; The paper does not mention community-based management. 
ReflectionThe paper focuses on the Eco-Bio-Social (EBS) strategy for Aedes aegypti control, which involves mobilizing stakeholders, including government, professionals, society, and academics. While the paper does not explicitly mention community-based management, it does involve community mobilization and training of community leaders. It is unclear, however, whether the community has primary responsibility for managing coastal resources or whether there is equal power between government and the community in managing the resources.",No,The paper is not relevant to CBFM.," No; The paper describes a study on the Eco-Bio-Social (EBS) strategy for Aedes aegypti control, not CBFM.

ReflectionThe paper does not relate to either the benefits or barriers of CBFM, which is the focus of the screening criteria.",
23,Differential impacts of coral reef herbivores on algal succession in Kenya,"In shallow-water systems, fisheries management influences herbivory, which mediates ecosystem processes by regulating algal biomass, primary production, and competition between benthic organisms, such as algae and corals. Sea urchins and herbivorous fishes (scrapers, grazers, browsers) are the dominant herbivores in Kenya's fringing coral reef and their grazing influences coral-macroalgal dynamics and dominance. Using experimental substrata and grazer exclusions, we tested the hypothesis that herbivores differentially affect algal composition and succession using 3 levels of fisheries management: fished reefs, community-managed closures (&lt;10 yr old, &lt;0.5 km2), and government-managed closures (20 to 40 yr old, 5 to 10 km2). In fished reefs and government closures, herbivores facilitated maintenance of early successional algal species, such as turfs, associated with sea urchins in the former and scraping fishes in the latter. Crustose coralline algae were only abundant in government closures, and video recordings showed that fish grazing was greatest at these sites, most notably for parrotfishes (scrapers). A combination of sea urchins and small grazing and detritivorous fishes was present in community closures, which allowed macroalgae to quickly develop from turf into early then late successional stages. These reefs may represent an intermediate or transitional system of herbivore dominance characterized by macroalgae. Consequently, reefs in heavily fished seascapes initially protected from fishing may require additional management efforts to facilitate the recovery of larger-bodied scraping fishes, including bans on capturing parrotfishes and restricting gear (e.g. spearguns) that target these species. © Inter-Research 2014.",No,No,The study does not meet the screening criteria as it does not include a case study of CBFM in a Pacific Island country.," No; The study does not mention CBFM or any Pacific Island country.
ReflectionThe study focuses on the impacts of coral reef herbivores on algal succession in Kenya and does not mention any Pacific Island country or CBFM.",,,,Maybe,"The abstract mentions ""community-managed closures"", which could potentially be a form of community-based management, but the information provided is not sufficient to confirm this."," Maybe; The abstract does not explicitly mention community-based management, but it does mention ""community-managed closures"". 
ReflectionThe definition provided in the SC is ""an approach to fisheries management that gives coastal communities and fishers primary responsibility for managing their coastal resources"". The abstract mentions community-managed closures, which could be interpreted as a form of community-based management. However, it does not provide enough information to confirm this interpretation.",No,The Title and Abstract do not meet the Screening Criteria as they do not contain information on the benefits or barriers to CBFM.," No; The Title and Abstract focus on the impacts of coral reef herbivores on algal succession and do not mention CBFM. 
ReflectionThe Title and Abstract do not meet the Screening Criteria.","SC - Only studies with fisheries related examples. Papers that refer to broader marine resource management to be included if they still include a focus on fisheries management.

Initial Response: Yes, the abstract focuses on herbivorous fishes and sea urchins' impact on algal succession in Kenya's coral reef, which is a fisheries-related example.
Reflection: The study primarily focuses on the role of herbivores in regulating algal biomass and succession on coral reefs in Kenya. Fisheries management plays a significant role in regulating herbivory, and the study emphasizes the importance of large scraping fishes like parrotfishes for maintaining the ecological balance of the reef ecosystem. The study also highlights the need for additional management efforts to facilitate the recovery of larger-bodied scraping fishes. Therefore, the abstract meets the screening criteria.
Final Response: Yes, the study focuses on the impact of fisheries management on herbivory and algal succession on Kenya's coral reefs, making it a relevant example of fisheries-related research."
24,Characterization of an artisanal fishery in Argentina using the social-ecological systems framework,"Institutional Analysis and Development (IAD) studies how institutions (the rules of the game of a society) determine the performance of a social-economic system. Elinor Ostrom extends the institutional analysis to the collective action for a particular case, the study of the social-ecological systems (SESs) (Ostrom 1990). Any group that attempts to manage a common resource (e.g. aquifers, pastures) for optimal sustainable production must solve a set of problems in order to create institutions to facilitate collective action. Some evidences show that following a set of design principles in creating institutions can lead to overcome these problems. The aim of the paper is to apply the SES framework to an artisanal fishery community in Argentina in order to: 1) describe the principal features, key variables and relations of the small-scale fishery system; 2) detect the principal drivers of a potential common-management and the leading detractors from the current communal performance; and 3) analyze the possibility that a self-governing for sustainable fishery may appear. Several drivers for potential common-management and some detractors from the current common performance are summarized. Artisanal fishery SES is currently at a bifurcation point. A common historical and cultural root, the presence of leaderships, the relevance of local knowledge, the dependence on the resource to sustainable livelihoods and the threat of big-scale fisheries area have generated incentives to collectiveaction. But, simultaneously, internal conflicts are the most important barrier for an integrated community-based management. The heterogeneity among actors and the relevant external conditions have resulted in two groups diverging in their self-organization. The work is framed by the project COMET-LA (COmmunitybased Management of Environmental challenges in Latin America; European Commission’s Seventh Framework Programme of Research and Development), which aims to identify sustainable community-based governance for the management of natural resources that can be used in different social-ecological systems in a context of climate change and increasing competition in the use of resources. © 2017, Igitur, Utrecht Publishing and Archiving Services. All rights reserved.",No,No,The study does not meet the screening criteria as it does not include a case study of CBFM in a Pacific Island country.," No; The abstract does not mention Pacific Island countries or community-based fisheries management (CBFM).
ReflectionThe abstract discusses the application of the social-ecological systems framework to an artisanal fishery community in Argentina, but it does not mention CBFM or Pacific Island countries.",Yes,"The paper discusses the application of the social-ecological systems framework to an artisanal fishery community in Argentina and how to create institutions for sustainable fishery management. While broader marine resource management is mentioned, the primary focus is on fisheries management."," Maybe; The abstract mentions an artisanal fishery in Argentina, but it is unclear if the paper focuses solely on fisheries management or broader marine resource management.

ReflectionThe abstract mentions the application of the social-ecological systems framework to an artisanal fishery community in Argentina. While the focus is primarily on the fishery system, the paper may touch upon broader marine resource management issues.",Maybe,"While the abstract does not explicitly state whether the management is community-based, it does discuss the relevance of local knowledge and the potential for self-governing sustainable fishery, which are characteristics of community-based management."," Maybe; The abstract mentions the study of the social-ecological system and the possibility of a self-governing sustainable fishery, but it does not explicitly state whether the management is community-based.
ReflectionThe abstract discusses the potential for common-management and the relevance of local knowledge in the artisanal fishery community in Argentina. However, it does not clearly state whether the management is community-based or government-based.",No,The paper doesn't meet the Screening Criteria as it doesn't provide information on the benefits or barriers of CBFM.," No; The paper does not provide information on the benefits or barriers of CBFM.

ReflectionThe paper focuses on the application of the social-ecological systems framework to an artisanal fishery community in Argentina to describe the principal features, key variables and relations of the small-scale fishery system in order to analyze the possibility of self-governing for sustainable fishery.",
25,Application of the Ostrom framework in the analysis of a social-ecological system with multiple resources in a marine protected area,"The framework proposed by Ostrom (2009) has become one of the most utilized tools to address the complexity of social-ecological systems. Most cases use this framework to analyze the systems from the perspective of a single resource unit. However, the livelihoods in several coastal communities are diverse, so that the users interact with multiple common-pool resources, which makes their analysis difficult. In this sense, it is important to identify the key elements of management to achieve the sustainable use of the resources. In this study, we were able to do this in a coastal community where commercial fishing, ecotourism, and recreational fishing coexist. The system of interest, located in the state of Quintana Roo, Mexico, was subdivided by resource type using a multi-method approach to data collection including surveys, interviews, and records review. A conceptual map was developed that shows how the second-tier variables are integrated through the governance and actors with the biophysical system. The actors involved in lobster fishing achieved a more complex governance system, followed by the ecotourism and recreational fishing; the complexity of the governance was related with the equity level of the actors. The analysis revealed the research gaps to develop management strategies and improve the sustainability of the system. Copyright © 2019 Palomo and Hernández-Flores.",No,No,The study does not fulfill the screening criteria as it does not include any case study of CBFM in a Pacific Island country.," No; The study does not mention any Pacific Island country case study.
ReflectionThe study focuses on the application of the Ostrom framework in the analysis of a social-ecological system with multiple resources in a marine protected area. The Pacific Island country is not mentioned in the title or abstract.",Yes,"The abstract mentions commercial fishing, recreational fishing, and a marine protected area, and discusses the governance of multiple common-pool resources, including fisheries, which meets the screening criteria."," Maybe; The abstract mentions commercial fishing, recreational fishing, and a marine protected area, but it is unclear if the focus is on fisheries management.
ReflectionThe abstract mentions multiple common-pool resources, including fisheries, and discusses the governance of these resources, which suggests a focus on fisheries management.",Maybe,"While the abstract does not use the term community-based management explicitly, it does mention governance and actors involved in managing multiple resources in a coastal community, which could potentially include community-based management."," Maybe; The abstract does not explicitly mention community-based management, but it does mention governance and actors, which could potentially include community involvement in management. 

ReflectionThe SC defines community-based management as an approach that gives primary responsibility for managing coastal resources to coastal communities and fishers. The abstract does not use the term community-based management explicitly, but it does mention governance and actors involved in managing multiple resources in a coastal community. It is possible that this could include community-based management.",No,The paper does not meet the screening criteria as it does not contain information on the benefits or barriers to CBFM.," No; The Title and Abstract do not mention CBFM.
ReflectionThe Title and Abstract do not mention CBFM, which stands for Community-Based Fisheries Management. Therefore, it is not likely that the paper will contain information on the benefits or barriers to CBFM.",
