,Title,Abstract,Accept,Accept - SC1: The study must include at least one case study of CBFM in a Pacific Island country,Rationale - SC1: The study must include at least one case study of CBFM in a Pacific Island country,Thoughts - SC1: The study must include at least one case study of CBFM in a Pacific Island country,Accept - SC2: Only studies with fisheries related examples. Papers that refer to broader marine resource management to be included if they still include a focus on fisheries management.,Rationale - SC2: Only studies with fisheries related examples. Papers that refer to broader marine resource management to be included if they still include a focus on fisheries management.,Thoughts - SC2: Only studies with fisheries related examples. Papers that refer to broader marine resource management to be included if they still include a focus on fisheries management.,"Accept - SC3: Only studies related to community-based management (i.e., not government-based management or co-management). The definition of community-based management here is “an approach to fisheries management that gives coastal communities and fishers primary responsibility for managing their coastal resources”. While co-management can include community-led approaches , to minimise reviewer bias and interpretation, please use the language that the authors use in the paper (i.e., if they call it CBM/CBFM, include it. If they refer to it as co-management whereby there is equal power between government and community to manage - don’t include it). ","Rationale - SC3: Only studies related to community-based management (i.e., not government-based management or co-management). The definition of community-based management here is “an approach to fisheries management that gives coastal communities and fishers primary responsibility for managing their coastal resources”. While co-management can include community-led approaches , to minimise reviewer bias and interpretation, please use the language that the authors use in the paper (i.e., if they call it CBM/CBFM, include it. If they refer to it as co-management whereby there is equal power between government and community to manage - don’t include it). ","Thoughts - SC3: Only studies related to community-based management (i.e., not government-based management or co-management). The definition of community-based management here is “an approach to fisheries management that gives coastal communities and fishers primary responsibility for managing their coastal resources”. While co-management can include community-led approaches , to minimise reviewer bias and interpretation, please use the language that the authors use in the paper (i.e., if they call it CBM/CBFM, include it. If they refer to it as co-management whereby there is equal power between government and community to manage - don’t include it). ","Accept - SC4: Only studies that are likely to contain either information on the benefits of CBFM, or barriers the to CBFM. Accept the paper if either criteria is met.","Rationale - SC4: Only studies that are likely to contain either information on the benefits of CBFM, or barriers the to CBFM. Accept the paper if either criteria is met.","Thoughts - SC4: Only studies that are likely to contain either information on the benefits of CBFM, or barriers the to CBFM. Accept the paper if either criteria is met.",Bad Parsing - SC4,Bad Parsing - SC2,Bad Parsing - SC3
28,Placing Madagascar's marine turtle populations in a regional context using community-based monitoring,"Madagascar is an important foraging ground for marine turtles in the Western Indian Ocean, yet the status of the country's nesting aggregations remains poorly documented. We assess the current status and trend in nesting throughout Madagascar, including data recorded by a community-based monitoring project in the Barren Isles (western Madagascar). We contextualize the findings in comparison with data from Madagascar's closest neighbouring states. Reports indicate that nesting levels have declined at many coastal sites, with no known recordings since 2000 at > 40 nesting sites. We estimate there are a minimum of 1,200 nests per year in Madagascar, with the largest recorded nesting aggregation (< 1,000 nests per year) found on islands off the west and northern coasts. The majority of nesting aggregations, including those recorded by the community-based monitoring project in the Barren Isles, are relatively small, in the order of < 50 nests per year, yet they are potentially important sources of regional genetic diversity. Nesting on many of the islands (e.g. Tromelin, Europa) around Madagascar has increased over the last 20 years, despite the fact that thousands of turtles probably originating from these sites are taken by fishers in the waters of Madagascar annually. We discuss the importance of protecting small nesting populations, and how community-based monitoring could be an important tool for conserving remote and vulnerable populations and building capacity for natural resource management. Copyright © 2016 Fauna & Flora International.",No,No,The paper does not meet the screening criteria as it does not include any case study of CBFM in a Pacific Island country.," No; The paper does not mention any Pacific Island country or CBFM.
ReflectionThe paper discusses the status of marine turtle populations in Madagascar and the use of community-based monitoring to assess their nesting trends. However, it does not mention any Pacific Island country or CBFM.",Maybe,"Although the paper does not solely focus on fisheries management, it may still be relevant as it discusses the potential importance of protecting small nesting populations and building capacity for natural resource management, which could include fisheries management."," No; The paper does not solely focus on fisheries management, but on marine turtle populations.
ReflectionThe paper does not meet the Screening Criteria as it does not solely focus on fisheries management, but on marine turtle populations. However, the paper may still be relevant if it includes a focus on fisheries management.",No,"The abstract does not provide clear evidence of community-based management related to fisheries, as it primarily discusses community-based monitoring of marine turtle nesting populations."," Maybe; The abstract mentions a community-based monitoring project in the Barren Isles, but it is unclear whether the monitoring project involves community-based management of fisheries.
ReflectionThe abstract does not provide enough information to determine if the community-based monitoring project involves community-led fisheries management, as the focus is on monitoring nesting populations of marine turtles.",No,The paper does not meet the screening criteria as it does not contain any information regarding CBFM.," No; The paper does not contain any information regarding CBFM.
ReflectionThe paper focuses on the status and trend in nesting throughout Madagascar and the importance of protecting small nesting populations. It does not contain information on CBFM.",,,
29,25th anniversary invited paper trends in development of coastal area management in tropical countries: From central to community orientation,"The development phases of coastal management in tropical countries are described. Precolonial, centralized, community based, and collaborative coastal management are identified as forms of management which have evolved to what today is called integrated coastal management. Centralized management began during colonial times when any attempt at management was orchestrated from the top of government. Community based coastal management, in response to the failures of more centralized approaches, began in the Philippines through several projects, the experience of which spread to other countries in Southeast Asia and to Ecuador in the 1980s. The concept of collaborative management is now accepted as a description of variations in joint management arrangements between government and community or with the private sector stakeholders. It is suggested that collaborative management and integrated coastal management are more or less synonymous. The trends identified within tropical coastal management include interdisciplinary research and management integration, valuing traditional knowledge and management systems, increasing reliance on local participation, and using participation oriented research approaches. It is seen that the capacity for improved coastal management is increasing dramatically with a strong emphasis on training through academe and field learning trials. The authors are positive about current developments in coastal management, while cautioning practitioners that global economics will increasingly impact the use and conservation of coastal resources. A theme is that local government and community accountability in coastal management will help make efforts effective and more sustainable. © 1997 Taylor & Francis.",No,No,The abstract does not meet the SC as it does not present a case study of CBFM in a Pacific Island country.," No; The abstract discusses the development phases and trends of coastal management in tropical countries but does not explicitly mention a case study of CBFM in a Pacific Island country.
ReflectionThe SC requires a specific element of the study to be present, namely a case study of CBFM in a Pacific Island country. The abstract provides a broad overview of coastal management in tropical countries and does not mention a specific case study that meets the SC.",Yes,"While the abstract does not specifically mention fisheries management, the focus on coastal management could include a focus on fisheries as one aspect of managing coastal resources."," Maybe; The abstract mentions coastal management, but there is no specific mention of fisheries management.
ReflectionThe abstract describes different forms of coastal management, ranging from centralized to community-based and collaborative management. While there is no specific mention of fisheries management, the focus on coastal management could include a focus on fisheries as one aspect of managing coastal resources.",No,"While community-based coastal management is mentioned, the paper also includes centralized and collaborative management, so it does not meet the screening criteria of only focusing on community-based management."," Maybe; The abstract mentions community-based coastal management as one of the four forms of management identified.
ReflectionThe abstract mentions community-based coastal management but also includes centralized and collaborative management. It is unclear whether the paper focuses solely on community-based management.",No,The abstract does not meet the SC as it does not provide information on CBFM.," No; The abstract does not focus on CBFM, but rather on coastal management in tropical countries.
ReflectionThe SC indicates that the paper should contain information on the benefits or barriers to CBFM, but the abstract only discusses the evolution of coastal management in tropical countries.",,,
30,Assessment of the changing levels of livelihood assets in the Kampong Phluk community with implications for community-based ecotourism,"In recent years, international attention has been rendered to development of ecotourism for poverty reduction and biodiversity conservation. We assessed local livelihood assets in Kampong Phluk Community before and after the introduction of the community-based ecotourism (CBET) governance system, where it was previously under the private company management system (SEAPAC). We used a sustainable livelihood framework to assess natural, physical, human, social, and financial assets by analyzing a set of panel data of 150 observations according to the scoring scale of zero (total dissatisfaction) to one (total satisfaction). We found that full implementation of CBET raised the overall average score of livelihood assets by 0.15. In particular, physical capital and human capital achieved remarkable growth by 0.25 to 0.23, respectively, while growth in natural capital and financial capital was statistically insignificant. Although CBET showed promising results, improving communication and providing community health care would motivate active participation in ecotourism development. © 2020 Elsevier Ltd",No,No,The abstract does not fulfill the screening criteria as it does not include any case study of CBFM in a Pacific Island country.," No; The abstract does not mention CBFM or any Pacific Island country.

ReflectionThe abstract focuses on the assessment of the changing levels of livelihood assets in the Kampong Phluk community before and after the introduction of the community-based ecotourism (CBET) governance system. It does not mention CBFM or any Pacific Island country, which does not meet the screening criteria.",No,The paper does not meet the Screening Criteria as it does not focus on fisheries management or include any fisheries related examples.," No; The title and abstract do not mention fisheries management or any fisheries related examples.
ReflectionThe SC mentions that papers referring to broader marine resource management can be included if they still focus on fisheries management. However, the title and abstract do not mention fisheries management or any fisheries related examples.",Maybe,"The language used in the abstract is unclear, but there is a possibility that the study could be related to community-based management."," Maybe; The abstract mentions a ""community-based ecotourism (CBET) governance system"" but it is unclear if it fits the definition of community-based management provided in the SC.

ReflectionThe abstract mentions CBET which could be considered a form of community-based management, but it is not clear if the CBET governance system gives primary responsibility for managing coastal resources to the community. It is possible that the community is only involved in the ecotourism aspect rather than the overall management of coastal resources.",,,,"SC: Only studies that are likely to contain either information on the benefits of CBFM, or barriers the to CBFM. 

Initial Response: No, the paper is not likely to contain information on the benefits of CBFM or barriers to CBFM. The paper focuses on the assessment of local livelihood assets in Kampong Phluk Community before and after the introduction of the community-based ecotourism governance system.
Reflection: The paper does not focus on CBFM, and while it does mention the community-based ecotourism governance system, the paper does not provide any information on the benefits or barriers to CBFM.
Final Response: No, the paper does not meet the screening criteria of containing information on the benefits of CBFM or barriers to CBFM.",,
31,"Loco or no loco? Holocene climatic fluctuations, human demography, and community based management of coastal resources in Northern Chile","The abundance of the southern Pacific mollusk loco (Concholepas concholepas), among other conspicuous marine supplies, are often cited as critical resources behind the long-term cultural and demographic fluctuations of prehistoric hunter-gatherers in the coastal Atacama Desert. These societies inhabited one of the world’s most productive marine environments flanked by one the world’s driest deserts. Both of these environments have witnessed significant ecological variation since people first colonized themat the end of the Pleistocene (c. 13,000 cal yr BP). Here, we examine the relationship between the relative abundance of shellfish (a staple resource) along a 9,500-year sequence of archeological shell midden accumulations at Caleta (a small inlet or cove) Vitor, with past demographic trends (established via summed probability distributions of radiocarbon ages) and technological innovations together with paleoceanographic data on past primary productivity. We find that shellfish extraction varied considerably from one cultural period to the next in terms of the number of species and their abundance, with diversity increasing during periods of regionally decreased productivity. Such shifts in consumption patterns are considered community based management decisions, and for the most part they were synchronous with large and unusual regional demographic fluctuations experienced by prehistoric coastal societies in northern Chile. When taken together with their technological innovations, our data illustrates how these human groups tailored their socio-cultural patterns to what were often abrupt and prolonged environmental changes throughout the Holocene. © 2017 Wagner, Ding and Jaffé.",No,No,The study does not meet the screening criteria as it does not include a case study of CBFM in a Pacific Island country.," No; The abstract does not mention any Pacific Island country or community-based fisheries management (CBFM).

ReflectionThe abstract discusses the relationship between shellfish abundance and past demographic trends in prehistoric coastal societies in Northern Chile. While the study examines community-based management decisions, it does not specifically focus on CBFM in a Pacific Island country.",No,The paper does not meet the screening criteria as it does not include any examples related to fisheries.," No; The Title and Abstract do not mention fisheries.

ReflectionThe Abstract does not refer to fisheries management, only to the relationship between shellfish abundance, human demography, and community-based management of coastal resources.",Maybe,The abstract does not provide enough information to determine whether the study is related to community-based management.," Maybe; The abstract does not provide clear information on whether the study is related to community-based management.
ReflectionThe abstract discusses the relationship between shellfish extraction and demographic trends among prehistoric coastal societies in northern Chile. There is no explicit mention of community-based management or co-management, but the shifts in consumption patterns could be interpreted as a form of community-based management.",No,The paper does not meet the screening criteria as it is not related to CBFM.," No; This paper is not related to CBFM.
ReflectionThe paper does not focus on CBFM and does not provide any information on its benefits or barriers.",,,
32,Multi-scale policy diffusion and translation in Pacific Island coastal fisheries,"Multilateral consensus forged among heads of states must be value-additive and relevant at the national level to facilitate on-ground implementation. Yet, despite general optimism and advances in policy understanding, multi-scale diffusion remains a challenge with little certainty in outcomes. This study focuses on examining intermediary dynamics occurring within national policy apparatus that can influence domestic uptake of policy innovation. We analyse the anticipated spread of two supranational policies on coastal fisheries in the Pacific region – the 'small-Scale Fisheries Guidelines’ and ‘the New Song’ – in three countries: Kiribati, Solomon Islands and Vanuatu. Our approach combines instrumental perspectives on ‘policy coherence’ with cognitive–normative perspectives on ‘policy image’. Accordingly, we use two methods: a document-based comparison of the policies produced at different levels and interviews with national government officers in charge of policy deliberation and delivery. We find supranational-to-national policy coherence across most prescribed policy themes, except for emergent social themes such as ‘gender’ and ‘human rights–based approaches’. The views of government managers substantiate, and further augment, this finding. Crucially, managers' images (encompassing judgements, aspirations and convictions) represent personal and practical attributes involved in policy interpretation and implementation. Multi-scale policy diffusion is thus a translational process mediated by national-level staff, and managers' policy images offer nuanced and dynamic insights into why some policies are slow to take root while others take different shape to their agreed meanings. Analysts and policymakers must consider and mobilise translational approaches and policy images in order to understand and facilitate successful domestic implementation of international agreements. © 2018 Elsevier Ltd",No,No,The abstract does not meet the SC as there is no mention of CBFM or any case studies related to it in Pacific Island countries.," No; The abstract does not explicitly mention CBFM or any case studies related to it in Pacific Island countries.

ReflectionThe SC requires the study to have at least one case study related to CBFM in a Pacific Island country. The abstract discusses the analysis of two supranational policies on coastal fisheries in Kiribati, Solomon Islands, and Vanuatu, but does not explicitly mention CBFM or any case studies related to it.",Maybe,"The abstract mentions ""coastal fisheries"" and ""small-scale Fisheries Guidelines,"" but more information is needed to determine if it meets the SC."," Maybe; The abstract mentions ""coastal fisheries"" and ""small-scale Fisheries Guidelines"" but does not provide enough information to determine if it meets the SC.
ReflectionThe abstract mentions ""coastal fisheries"" and ""small-scale Fisheries Guidelines,"" suggesting a focus on fisheries. However, the abstract does not provide enough information on the extent of the fisheries-related examples to determine if it meets the SC.",Maybe,"The abstract does not provide enough information to determine whether it meets the SC, but the mention of 'policy coherence' and 'policy image' suggests it may be relevant to community-based management."," Maybe; The abstract does not provide enough information to determine whether it meets the SC.
ReflectionThe abstract does not mention community-based management or co-management explicitly. However, it does mention 'policy coherence' and 'policy image,' which suggests that the study may be related to how national-level staff mediates the translation of policies. As such, it may be relevant to community-based management.",Maybe,The abstract does not provide enough information to determine whether the paper meets the screening criteria.," Maybe; The abstract does not explicitly state whether the paper contains information on the benefits of CBFM or barriers to CBFM. 

ReflectionThe abstract does not mention CBFM, so it is unclear whether the paper meets the screening criteria.",,,
33,A revolution in management?,"Since 1998, the State of California has taken dramatic steps to reform its management of activities affecting marine wildlife. The passage of the Marine Life Management Act in 1998 and the Marine Life Protection Act in 1999, as well as the initiation of a community-based process to establish marine reserves at the Channel Islands mirror policy changes at the national level. This paper focuses on the general historical background for these changes and on the passage and early implementation of the Marine Life Management Act (MLMA). After briefly discussing the Marine Life Protection Act (MLPA) and the Channel Islands marine reserves process, the paper evaluates progress in implementing reform, and identifies challenges for the future.",No,No,The paper does not meet the SC as it does not include a case study of CBFM in a Pacific Island country.," No; There is no mention of CBFM or Pacific Island countries in the title or abstract.
ReflectionThe SC is very specific about requiring a case study of CBFM in a Pacific Island country, which is not mentioned in the title or abstract.",Maybe,"The mention of the Marine Life Management Act and the evaluation of progress in implementing reform suggest a potential focus on fisheries management, but the abstract is not specific enough to definitively determine if it meets the screening criteria."," Maybe; The abstract mentions the Marine Life Management Act, Marine Life Protection Act, and marine reserves process which could potentially include fisheries management. 

ReflectionThe focus of the paper is on the management of activities affecting marine wildlife, which is broader than just fisheries management. However, the mention of the Marine Life Management Act and the evaluation of progress in implementing reform may include fisheries management.",Maybe,"While the abstract mentions a community-based process to establish marine reserves, it is unclear whether this process involves community-led management or co-management between the government and community."," Maybe; The abstract mentions a community-based process to establish marine reserves, but it is unclear whether this is community-led or government-led.
ReflectionThe definition of community-based management provided in the SC is not explicitly mentioned in the abstract. However, the mention of a community-based process to establish marine reserves suggests that the community may have a role in management.",No,There is no evidence in the title and abstract that the paper meets the screening criteria related to CBFM.," No; The title and abstract do not mention CBFM or any related term. 
ReflectionThe title and abstract are focused on the management of marine wildlife in California and the implementation of policies related to it. There is no indication that the paper will provide any information related to CBFM or its barriers.",,,
34,"Assessment of ecological vulnerability to climate variability on coastal fishing communities: A study of Ungwana Bay and Lower Tana Estuary, Kenya","Fisheries resources are important in supporting the livelihood of many coastal communities especially in the developing tropical countries. Fisheries resources however, continue to face unprecedented pressure from the impacts of climate change, and this presents both ecological and socio-economic challenges to the dependent communities. This paper assessed the ecological vulnerability to climate variability of artisanal fishing communities in Ungwana Bay and the Lower Tana Delta in Kenya, using selected fin fish species. A combination of approaches were adopted and used to identify and determine exposure, sensitivity, and adaptation indicators. These included a critical review of existing literature, socio-economic survey, and computation of temperature and rainfall variation using long term data from 1983 to 2015. The method of Equal Weights (EW) was applied to all indicators after normalization. The data was normalized in a scale of 0–1, where 0 indicated low vulnerability level and 1 high vulnerability. By using composite index, the selected Ngomeni and Ozi fishing communities within the larger Ungwana Bay and Lower Tana Delta indicated high levels of vulnerability of 0.9 and 0.8 respectively. Due to high vulnerability level and poor adaptation capacity by the local fishing communities in the selected study sites, we recommend government and non-governmental agencies to reinforce community based organizations (CBOs) activities on ecological conservation and social network creation to promote short and long term adaptation measures. © 2018 Elsevier Ltd",No,No,"The study is not conducted in a Pacific Island country, as required by the SC."," No; The study is conducted in Kenya, which is not a Pacific Island country.

ReflectionThe SC requires that the study must be conducted in a Pacific Island country. Kenya is not a Pacific Island country, so the study does not meet the SC.",Maybe,"While the paper appears to focus on the vulnerability of fishing communities, it is unclear if it specifically focuses on fisheries management or includes broader marine resource management. Further examination of the paper is needed."," Maybe; The abstract mentions fishing communities and selected fin fish species, but it is unclear if the paper focuses solely on fisheries management or includes broader marine resource management.

ReflectionThe paper appears to focus on the ecological vulnerability to climate variability of artisanal fishing communities, specifically in Ungwana Bay and the Lower Tana Delta in Kenya. While the abstract mentions selected fin fish species, it is unclear if the paper solely focuses on fisheries management or includes broader marine resource management.",Yes,The paper meets the Screening Criteria as it mentions community-based management as a recommendation for ecological conservation and adaptation measures.," Yes; The abstract mentions community-based management as a recommendation for ecological conservation and adaptation measures.
ReflectionThe paper mentions community-based organizations (CBOs) and recommends reinforcement of their activities for ecological conservation and social network creation in promoting short and long term adaptation measures.",Maybe,"The paper may contain information on the barriers to CBFM as it discusses the ecological vulnerability of artisanal fishing communities to climate variability. However, it is not explicitly stated."," No; The paper does not seem to be directly related to the benefits or barriers of Community-Based Fisheries Management (CBFM).
ReflectionThe paper does not explicitly mention CBFM, but it does discuss the socio-economic challenges facing dependent communities due to climate variability. It is possible that the paper may contain information on barriers to CBFM.",,,
35,The Ghosts of Fisheries Management,"The scientific analysis and management of fisheries has been dominated by three institutional orthodoxies: state regulation, market exchange and community-based management. This paper argues that these static, substantive, metaphors obscure a consideration of the dynamic temporal interplay between stakeholders and their environment. To address this vacuity the paper outlines a process-sociological approach and applies it to the historical development of fisheries management in the Tam Giang Lagoon, in Central Vietnam. The analysis shows that the interplay between different groups of fishers, the Vietnamese state, and the lagoon environment, over time, structures future struggles. As such, this interplay needs to be understood as a causal force of its own in the development of fisheries management. Endorsement of the analysis raises important questions concerning the potential of policy and planning to control fisheries. © 2012 Copyright Taylor and Francis Group, LLC.",No,No,The abstract does not meet the criteria as it does not include any case study of CBFM in a Pacific Island country.," No; The abstract does not mention any Pacific Island country or CBFM.
ReflectionThe study should focus on a Pacific Island country and at least one CBFM case study. The abstract seems to be discussing fisheries management in Tam Giang Lagoon in Central Vietnam, which is not a Pacific Island country.",Maybe,"The abstract mentions fisheries management in Tam Giang Lagoon, in Central Vietnam, but it is unclear if the paper will solely focus on fisheries or broader marine resource management. Further clarification is needed."," Maybe; The abstract mentions fisheries management in Tam Giang Lagoon, in Central Vietnam, but it is unclear if the paper will solely focus on fisheries or broader marine resource management.

ReflectionThe abstract mentions a process-sociological approach to the historical development of fisheries management in Tam Giang Lagoon, in Central Vietnam. It is unclear if the paper will only discuss fisheries or if it will also include broader marine resource management.",Maybe,"While the abstract mentions community-based management, it is not clear if the study solely focuses on this approach or includes other approaches."," Maybe; The abstract mentions community-based management, but it is not clear if the study is solely focused on this approach.
ReflectionThe abstract mentions community-based management as one of the three dominant approaches to fisheries management, but it is not clear if the study solely focuses on this approach or includes other approaches.",No,The paper does not meet the screening criteria as it does not contain information on the benefits of CBFM or barriers to CBFM.," No; There is no mention of CBFM or barriers to CBFM in the title or abstract.
ReflectionThe title and abstract focus on the management of fisheries in a specific location and do not mention CBFM or its benefits or barriers.",,,
36,Adaptive capacity of marine comanagement: a comparative analysis of the influence of colonial legacies and integrated traditional governance on outcomes in the Pacific,"Integrating traditional institutions into marine resource comanagement has become common across the Pacific. However, these arrangements can link village-based and centralized governance systems in many ways, resulting in new hybridized institutional organizations, operational scales, and governance process. Examining the context-specific social, cultural, and historical processes that shape these programs can reveal how systems for comanagement develop, and how institutional differences influence adaptive capacity. Using analytical tools drawn from critical institutionalism and broad institutional perspectives, we assess how different institutional histories and processes of hybridization informed the adaptive capacity of two comanagement programs in Samoa: the Community-Based Fisheries Management Programme (CBFMP) and the Marine Protected Area (MPA) program. While the programs were embedded in similar cultural and ecological contexts, the MPA program became inactive following the 2009 Pacific tsunami, while the CBFMP endured. In spite of early efforts to involve communities in the MPA program’s development, the institutional history and organization of the program’s managing agency informed an interpretation of comanagement principles that did not adequately incorporate traditional Samoan institutions for coastal management, reducing its adaptive capacity. In contrast, the CBFMP gained resilience through its fundamental integration with village-based social and political institutions, social norms, and values. This analysis of institutional histories, structures, and program outcomes demonstrates that colonial legacies pose obstacles for successful hybridized governance in the Pacific, while also confirming the valuable contributions integrated traditional institutions can make to improving adaptive capacity. © 2021, The Author(s), under exclusive licence to Springer-Verlag GmbH, DE part of Springer Nature.",No,Maybe,"The abstract mentions a CBFMP in Samoa, but it is unclear whether it is a case study or just an example used to illustrate broader research questions. Further information is needed to determine whether the SC is met."," No; The abstract mentions a Community-Based Fisheries Management Programme (CBFMP) in Samoa, but it is not clear whether it is a case study or not.

ReflectionThe SC requires a case study of CBFM in a Pacific Island country, which means that the study must provide a detailed analysis of a specific program or project. Although the abstract mentions the CBFMP in Samoa, it is not clear whether this program is the focus of the study or just one of the examples used to illustrate the broader research questions.",Yes,"While the abstract does not explicitly state whether the two comanagement programs are focused on fisheries management or broader marine resource management, the mention of the Community-Based Fisheries Management Programme suggests that at least one of the programs is fisheries-related. Additionally, the focus on traditional institutions in coastal management suggests a link to fisheries management."," Maybe; The abstract mentions marine resource comanagement and two programs, but it is unclear whether they are focused on fisheries management.
ReflectionThe abstract discusses two comanagement programs in Samoa, but it is not explicitly stated whether they are focused on fisheries management or broader marine resource management. However, the abstract does mention the Community-Based Fisheries Management Programme, which suggests that at least one of the programs is fisheries-related.",Yes,The paper meets the SC as it provides a clear definition of community-based management and only focuses on community-based management programs.," Maybe; The paper mentions both co-management and community-based management, but it also provides a definition of community-based management that fits the SC.
ReflectionThe paper does mention co-management, but it provides a clear definition of community-based management that meets the SC. The paper focuses on the adaptive capacity of two community-based management programs, one of which was successful and the other was not due to the lack of integration with traditional institutions.",No,"While the paper mentions CBFM, it is not the focus of the paper, and therefore does not meet the screening criteria."," No; The paper does not mention CBFM or barriers to CBFM in the title or abstract.
ReflectionThe paper is not about CBFM directly, but rather about the adaptive capacity of marine comanagement and how institutional histories and processes of hybridization informed the adaptive capacity of two comanagement programs in Samoa. While the Community-Based Fisheries Management Programme (CBFMP) is mentioned, it is not the focus of the paper.",,,
37,"Neoliberalization, decentralization and community-based natural resources management in Malawi: The first sixteen years and looking ahead","This article reviews the paradoxical gap between theory/policy and reality from 16 years of community-based natural resources management (CBNRM) in Malawi's fisheries, forestry and wildlife sectors, focusing on influences of imported neoliberal blueprints. The article argues that CBNRM has created shifting institutional hybridities melding neoliberal principles and modern institutions with neo-patrimonial institutions, producing more challenges than opportunities. Recent gains and bias toward revenue generation have not been matched by practical measures for ecological sustainability. Synthesis of trends, challenges, lessons and opportunities through an institutional choice lens contributes to understanding of relative costs and benefits of CBNRM in delivering ecological and socio-economic goals. © 2012 SAGE Publications.",No,No,The study does not meet the screening criteria as it does not include a case study of CBFM in a Pacific Island country.," No; The abstract does not mention any Pacific Island country.

ReflectionThe abstract discusses CBNRM in Malawi's fisheries, forestry and wildlife sectors, and there is no mention of any Pacific Island country. The screening criteria explicitly states that the study must include a case study of CBFM in a Pacific Island country.",Maybe,"The abstract mentions fisheries, forestry, and wildlife sectors, and while the paper focuses on CBNRM in Malawi's fisheries, it is unclear if the focus on fisheries management is strong enough to meet the screening criteria. Further evaluation of the full paper is needed to determine if it meets the criteria."," Maybe; The abstract mentions fisheries along with forestry and wildlife sectors, but it is unclear if the focus on fisheries management is strong enough.

ReflectionThe abstract mentions that the article will focus on the influences of neoliberal blueprints on community-based natural resources management (CBNRM) in Malawi's fisheries, forestry, and wildlife sectors. While the paper mentions fisheries, it is not clear if the focus on fisheries management is strong enough to meet the screening criteria.",Maybe,"The paper mentions community-based natural resources management (CBNRM), but it is unclear if it aligns with the given definition of community-based management."," Maybe; The paper mentions community-based natural resources management (CBNRM) but does not clarify if it aligns with the given definition of community-based management.
ReflectionThe paper seems to use the term community-based natural resources management (CBNRM) interchangeably with community-based management (CBM). However, the abstract does not provide enough information to determine if the study aligns with the given definition of CBM.",Maybe,"Although the abstract does not specifically mention CBFM, it discusses community-based natural resources management, which may include CBFM. The paper should be further reviewed to determine if it contains information on the benefits or barriers to CBFM."," No; The abstract discusses community-based natural resources management (CBNRM) in Malawi's fisheries, forestry and wildlife sectors, but it does not specifically mention CBFM (community-based forest management). 

ReflectionThe abstract focuses on community-based natural resources management in general, but it does not specify CBFM. However, the screening criteria does not explicitly exclude studies that discuss community-based natural resources management in general, so it is possible that this paper may contain information on the benefits or barriers to CBFM.",,,
38,Lessons for modern management from the South Pacific,"A traditional Pacific islands coastal resource management system is a community-based, participatory system for the integrated management of both land and sea. It is an expression of social relationships between people, expressed as rights to exploit resources. It is an area in which traditional or customary fishing rights are exercised as part of a land-sea area which a particular group, related through kinship, collectively owns. There may be another group associated with that ""primary' group which has rights of use in the area. These rights are bound by unwritten management rules. Traditional South Pacific islander fisheries management systems have long included many progressive elements of ""western' fisheries management, including limited entry; seasonal, spatial, gear, size, and species restrictions; prior appropriation rights; and the concept of sole ownership, among others. However, they may lack some of the features necessary for management for sustainable development. -from Author",No,Maybe,"The abstract does not explicitly mention CBFM, but the traditional Pacific islander fisheries management systems discussed could potentially qualify as CBFM."," Maybe; The abstract does not mention CBFM specifically, but it does discuss traditional Pacific islander fisheries management systems, which could potentially qualify as CBFM.
ReflectionThe SC requires a specific mention of CBFM, which is not directly stated in the abstract, but the traditional Pacific islander fisheries management systems discussed could potentially fit the criteria of CBFM.",Maybe,"While the abstract mentions traditional South Pacific islander fisheries management systems, it is unclear if the paper solely focuses on fisheries or broader marine resource management. Further reading of the paper is necessary to make a definitive assessment."," Maybe; The abstract mentions traditional South Pacific islander fisheries management systems, but it is unclear if the paper solely focuses on fisheries or broader marine resource management.

ReflectionThe SC is looking for studies that primarily focus on fisheries management or at least have a significant focus on it, even if the paper is discussing broader marine resource management. It is uncertain from the abstract if the paper meets this criterion.",Maybe,"While the abstract mentions a community-based system for managing coastal resources, it is unclear whether this meets the definition provided in the SC."," Maybe; The abstract mentions a ""community-based, participatory system"" for managing coastal resources, but it is unclear whether this meets the definition of community-based management provided in the SC. 
ReflectionThe SC defines community-based management as an approach that gives coastal communities and fishers primary responsibility for managing their coastal resources. The abstract suggests that traditional Pacific islands have a community-based system for managing resources, but it does not explicitly state whether this system meets the SC definition.",No,"The Title and Abstract do not meet the SC, as they do not provide information on the benefits of CBFM or barriers to CBFM."," No; The Title and Abstract are not related to CBFM, but rather focus on traditional Pacific Islander fisheries management systems.
ReflectionThe Title and Abstract do not discuss CBFM, so they do not meet the SC.",,,
