,Title,Abstract,Accept,Accept - SC1: The study must include at least one case study of CBFM in a Pacific Island country,Rationale - SC1: The study must include at least one case study of CBFM in a Pacific Island country,Thoughts - SC1: The study must include at least one case study of CBFM in a Pacific Island country,Accept - SC2: Only studies with fisheries related examples. Papers that refer to broader marine resource management to be included if they still include a focus on fisheries management.,Rationale - SC2: Only studies with fisheries related examples. Papers that refer to broader marine resource management to be included if they still include a focus on fisheries management.,Thoughts - SC2: Only studies with fisheries related examples. Papers that refer to broader marine resource management to be included if they still include a focus on fisheries management.,"Accept - SC3: Only studies related to community-based management (i.e., not government-based management or co-management). The definition of community-based management here is “an approach to fisheries management that gives coastal communities and fishers primary responsibility for managing their coastal resources”. While co-management can include community-led approaches , to minimise reviewer bias and interpretation, please use the language that the authors use in the paper (i.e., if they call it CBM/CBFM, include it. If they refer to it as co-management whereby there is equal power between government and community to manage - don’t include it). ","Rationale - SC3: Only studies related to community-based management (i.e., not government-based management or co-management). The definition of community-based management here is “an approach to fisheries management that gives coastal communities and fishers primary responsibility for managing their coastal resources”. While co-management can include community-led approaches , to minimise reviewer bias and interpretation, please use the language that the authors use in the paper (i.e., if they call it CBM/CBFM, include it. If they refer to it as co-management whereby there is equal power between government and community to manage - don’t include it). ","Thoughts - SC3: Only studies related to community-based management (i.e., not government-based management or co-management). The definition of community-based management here is “an approach to fisheries management that gives coastal communities and fishers primary responsibility for managing their coastal resources”. While co-management can include community-led approaches , to minimise reviewer bias and interpretation, please use the language that the authors use in the paper (i.e., if they call it CBM/CBFM, include it. If they refer to it as co-management whereby there is equal power between government and community to manage - don’t include it). ","Accept - SC4: Only studies that are likely to contain either information on the benefits of CBFM, or barriers the to CBFM. Accept the paper if either criteria is met.","Rationale - SC4: Only studies that are likely to contain either information on the benefits of CBFM, or barriers the to CBFM. Accept the paper if either criteria is met.","Thoughts - SC4: Only studies that are likely to contain either information on the benefits of CBFM, or barriers the to CBFM. Accept the paper if either criteria is met.",Bad Parsing - SC2,Bad Parsing - SC3
21,Sustainable financing of a national Marine Protected Area network in Fiji,"Marine Protected Areas (MPA) are mostly studied from an environmental context. A review of available information identified a lack of knowledge in sustainable mechanisms to finance MPA networks. At the United Nations Ocean Conference in 2017, Fiji reaffirmed its voluntary commitment to make 30% of its inshore and offshore marine area MPAs by 2020 under Sustainable Development Goal 14. The work presented here uses empirical data to explore potential benefits from selected community-based MPAs to recipient local stakeholders. A Willingness to Pay (WTP) and Willingness to Contribute Time (WtCT) method was used to explore the extent to which bottom-up governance systems represent a potential financing mechanism of a MPA network. Results of 115 interviews concluded that proximity to a fishing market, dependence on marine resources, food security, income and international commitments were significant variables influencing stakeholder's WTP and WtCT to manage a MPA. We argue that there is a discrepancy between WtCT and WTP driven by income constraints. Thus, by using WTP and WtCT to support financing of a MPA network, a Provincial Trust Fund (PTF) could promote an equitable and benefits-based contribution. Equally important, a PTF has a polycentric and decentralized governance model, which endorses sustainable management of traditional fishing communities. The conclusions provide insight into a bottom-up approach for long-term financial sustainability of Fiji's national MPA commitments. © 2018 Elsevier Ltd",No,No,The study does not meet the SC as it does not include any case study of CBFM in a Pacific Island country.," No; There is no mention of CBFM in the Title or Abstract.
ReflectionThe study focuses on sustainable financing of Marine Protected Area network and does not seem to cover CBFM as required by the SC.",Maybe,"While the study is not explicitly focused on fisheries management, it does explore the economic benefits of community-based marine protected areas, which could include benefits to fisheries management."," Maybe; The abstract discusses the management of marine protected areas and explores the willingness of communities to finance them. It is unclear whether fisheries management is a focus of the study.

ReflectionThe study is not explicitly focused on fisheries management, but it does explore the economic benefits of community-based marine protected areas, which could include benefits to fisheries management.",Maybe,"While the abstract mentions the use of a bottom-up governance system, it is not clear whether the management approach is solely community-based."," Maybe; The abstract mentions community-based MPAs and bottom-up governance systems, but it is not clear if the management approach is solely community-based.
ReflectionThe abstract mentions the use of a bottom-up governance system in financing a network of MPAs, which can suggest community-based management. However, it is not explicitly stated whether the management approach is solely community-based or if there is a partnership with the government.",Maybe,"While the abstract does not mention CBFM specifically, the discussion of sustainable financing mechanisms for MPAs may be related to CBFM. It is possible that the paper contains information on barriers or benefits to CBFM within the context of sustainable financing mechanisms for MPAs."," Maybe; The abstract discusses sustainable mechanisms to finance MPA networks, but does not specifically mention barriers or benefits to community-based fisheries management (CBFM). 

ReflectionThe abstract does not directly address whether the paper contains information on the benefits of CBFM or barriers to CBFM. However, the discussion of sustainable financing mechanisms for MPAs may be related to CBFM.",,
22,"Scaling up of eco-bio-social strategy to control aedes aegypti in highly vulnerable areas in Fortaleza, Brazil: A cluster, non-randomized controlled trial protocol","Aedes aegypti is a cosmopolitan vector for arboviruses dengue, Zika and chikungunya, disseminated in all Brazilian states. The Eco-Bio-Social (EBS) strategy is vital in Aedes aegypti control as it mobilizes stakeholders (government, professionals, society, and academics) to promote healthy environments. This paper describes the rationale and methods of expanding the EBS strategy for Aedes aegypti control in Fortaleza, Northeast Brazil. A cluster, non-randomized controlled clinical trial was developed to analyze the strategy’s effectiveness in vulnerable territories (high incidence of dengue and violent deaths; low HDI; substandard urban infrastructure, high population density, and water scarcity). We selected two intervention and two control groups, resulting in a sample of ap-proximately 16,000 properties. The intervention consisted of environmental management by sealing large elevated water tanks, introduction of beta fish in waterholes, elimination of potential breeding sites, and mobilization and training of schoolchildren, endemic disease workers, health workers, social mobilizers, and community leaders; community surveillance of arboviruses; construction and validation of a booklet for the prevention of arboviruses in pregnant women. We analyzed the costs of arboviruses to government and households, the intervention cost-effectiveness, chikungunya’s chronicity, and acceptance, sustainability, and governance of vector control actions. The primary outcome (infestation) was analyzed using the house, container, and Breteau indices. We hope that this study will help us understand how to scale up strategies to fight Aedes aegypti in vulnerable areas. © 2021 by the authors. Licensee MDPI, Basel, Switzerland.",No,No,The paper does not meet the SC because it does not include a case study of CBFM in a Pacific Island country.," No; The paper is about scaling up the Eco-Bio-Social (EBS) strategy to control Aedes aegypti in Brazil, and there is no mention of CBFM in a Pacific Island country.

ReflectionThe SC requires the paper to include a case study of CBFM in a Pacific Island country, which is not evident in the title or abstract.",No,The paper does not meet the screening criteria as it is not related to fisheries management or broader marine resource management with a focus on fisheries.," No; The paper is not focused on fisheries management.

ReflectionThe paper is focused on controlling Aedes aegypti mosquito vectors in Brazil, and does not mention fisheries or marine resource management.",No,The paper does not meet the screening criteria for community-based management.," No; The paper does not mention community-based management.
ReflectionThe paper is mainly focused on implementing an Eco-Bio-Social (EBS) strategy to control Aedes aegypti in vulnerable areas in Fortaleza, Brazil. The paper does not mention community-based management.",No,The paper does not mention CBFM and therefore does not meet the screening criteria.," No; The paper is not likely to contain information on the benefits of CBFM nor barriers to CBFM.
ReflectionThe paper does not mention CBFM at all, so it is unlikely to provide information on either the benefits or barriers to CBFM.",,
23,Differential impacts of coral reef herbivores on algal succession in Kenya,"In shallow-water systems, fisheries management influences herbivory, which mediates ecosystem processes by regulating algal biomass, primary production, and competition between benthic organisms, such as algae and corals. Sea urchins and herbivorous fishes (scrapers, grazers, browsers) are the dominant herbivores in Kenya's fringing coral reef and their grazing influences coral-macroalgal dynamics and dominance. Using experimental substrata and grazer exclusions, we tested the hypothesis that herbivores differentially affect algal composition and succession using 3 levels of fisheries management: fished reefs, community-managed closures (&lt;10 yr old, &lt;0.5 km2), and government-managed closures (20 to 40 yr old, 5 to 10 km2). In fished reefs and government closures, herbivores facilitated maintenance of early successional algal species, such as turfs, associated with sea urchins in the former and scraping fishes in the latter. Crustose coralline algae were only abundant in government closures, and video recordings showed that fish grazing was greatest at these sites, most notably for parrotfishes (scrapers). A combination of sea urchins and small grazing and detritivorous fishes was present in community closures, which allowed macroalgae to quickly develop from turf into early then late successional stages. These reefs may represent an intermediate or transitional system of herbivore dominance characterized by macroalgae. Consequently, reefs in heavily fished seascapes initially protected from fishing may require additional management efforts to facilitate the recovery of larger-bodied scraping fishes, including bans on capturing parrotfishes and restricting gear (e.g. spearguns) that target these species. © Inter-Research 2014.",No,No,The study does not meet the Screening Criteria as it does not include any case study of CBFM in a Pacific Island country.," No; The study does not mention CBFM or any Pacific Island country. 

ReflectionThe Screening Criteria requires the study to include a case study of CBFM in a Pacific Island country. CBFM stands for community-based forest management which involves decentralization of forest management to communities. The Title and Abstract do not mention CBFM or any Pacific Island country.",,,,Maybe,"While the abstract mentions community-managed closures, it is not clear if this meets the definition of community-based management provided in the SC. Further information is needed to determine if this study is related to community-based management."," Maybe; The abstract mentions community-managed closures, but it is not clear if this is the primary focus of the study or if it meets the definition of community-based management. 
ReflectionThe abstract mentions community-managed closures, which suggests that there may be some community involvement in fisheries management. However, it is not clear if this meets the definition of community-based management provided in the SC.",No,The paper does not meet the screening criteria as it is not focused on either the benefits of CBFM or barriers to CBFM.," No; The paper does not appear to be about CBFM, but rather it is about herbivores and algal succession.
ReflectionThe paper does not appear to meet the screening criteria as it is not focused on either the benefits of CBFM or barriers to CBFM.","SC: Only studies with fisheries related examples. Papers that refer to broader marine resource management to be included if they still include a focus on fisheries management.

Initial Response: Yes, the abstract mentions herbivorous fishes and sea urchins, which are related to fisheries.
Reflection: The abstract focuses on the effects of herbivores on algal composition and succession, which are important factors in fisheries management. 
Final Response: Yes, the paper includes a focus on herbivorous fishes and sea urchins, both of which are related to fisheries.",
24,Characterization of an artisanal fishery in Argentina using the social-ecological systems framework,"Institutional Analysis and Development (IAD) studies how institutions (the rules of the game of a society) determine the performance of a social-economic system. Elinor Ostrom extends the institutional analysis to the collective action for a particular case, the study of the social-ecological systems (SESs) (Ostrom 1990). Any group that attempts to manage a common resource (e.g. aquifers, pastures) for optimal sustainable production must solve a set of problems in order to create institutions to facilitate collective action. Some evidences show that following a set of design principles in creating institutions can lead to overcome these problems. The aim of the paper is to apply the SES framework to an artisanal fishery community in Argentina in order to: 1) describe the principal features, key variables and relations of the small-scale fishery system; 2) detect the principal drivers of a potential common-management and the leading detractors from the current communal performance; and 3) analyze the possibility that a self-governing for sustainable fishery may appear. Several drivers for potential common-management and some detractors from the current common performance are summarized. Artisanal fishery SES is currently at a bifurcation point. A common historical and cultural root, the presence of leaderships, the relevance of local knowledge, the dependence on the resource to sustainable livelihoods and the threat of big-scale fisheries area have generated incentives to collectiveaction. But, simultaneously, internal conflicts are the most important barrier for an integrated community-based management. The heterogeneity among actors and the relevant external conditions have resulted in two groups diverging in their self-organization. The work is framed by the project COMET-LA (COmmunitybased Management of Environmental challenges in Latin America; European Commission’s Seventh Framework Programme of Research and Development), which aims to identify sustainable community-based governance for the management of natural resources that can be used in different social-ecological systems in a context of climate change and increasing competition in the use of resources. © 2017, Igitur, Utrecht Publishing and Archiving Services. All rights reserved.",No,No,The paper does not meet the screening criteria as it does not include any case study of CBFM in a Pacific Island country.," No; The paper does not mention any Pacific Island country or CBFM.

ReflectionThe screening criteria requires that the study should include a case study of CBFM in a Pacific Island country, which means that the study should explicitly mention a Pacific Island country and discuss CBFM in that specific context.",Yes,"The paper's abstract includes a focus on an artisanal fishery community in Argentina and applies the social-ecological systems (SES) framework to analyze the possibility of self-governance for sustainable fishery. Therefore, it meets the screening criteria."," Maybe; The abstract mentions an artisanal fishery but also discusses broader topics of social-ecological systems (SES) and collective action.

ReflectionThe paper's abstract includes a discussion on the social-ecological systems (SES) framework and the collective action for managing common resources, which is not solely focused on fisheries management. However, it does apply this framework to an artisanal fishery community in Argentina to analyze the possibility of self-governance for sustainable fishery.",Maybe,"Without further information, it is unclear whether this study meets the screening criteria for community-based management."," Maybe; The abstract mentions ""collective action"", ""potential common-management"", and ""self-governing for sustainable fishery"". However, it does not explicitly mention community-based management.
ReflectionThe paper does not use the term ""community-based management"" or any equivalent phrases like ""community-led management"". However, the paper does discuss the potential for collective action and self-governance for sustainable fishery, which are key components of community-based management. It is possible that this study falls under the SC, but it is not clear from the abstract alone.",No,The paper does not meet the Screening Criteria since it does not contain any information related to CBFM.," No; The title and abstract do not mention CBFM or any related terms.
ReflectionThe paper does not meet the Screening Criteria since it does not mention anything related to CBFM.",,
25,Application of the Ostrom framework in the analysis of a social-ecological system with multiple resources in a marine protected area,"The framework proposed by Ostrom (2009) has become one of the most utilized tools to address the complexity of social-ecological systems. Most cases use this framework to analyze the systems from the perspective of a single resource unit. However, the livelihoods in several coastal communities are diverse, so that the users interact with multiple common-pool resources, which makes their analysis difficult. In this sense, it is important to identify the key elements of management to achieve the sustainable use of the resources. In this study, we were able to do this in a coastal community where commercial fishing, ecotourism, and recreational fishing coexist. The system of interest, located in the state of Quintana Roo, Mexico, was subdivided by resource type using a multi-method approach to data collection including surveys, interviews, and records review. A conceptual map was developed that shows how the second-tier variables are integrated through the governance and actors with the biophysical system. The actors involved in lobster fishing achieved a more complex governance system, followed by the ecotourism and recreational fishing; the complexity of the governance was related with the equity level of the actors. The analysis revealed the research gaps to develop management strategies and improve the sustainability of the system. Copyright © 2019 Palomo and Hernández-Flores.",No,No,The study does not meet the screening criteria as it does not include a case study of CBFM in a Pacific Island country.," No; The study does not mention a Pacific Island country.
ReflectionThe study focuses on the application of the Ostrom framework in a social-ecological system with multiple resources in a marine protected area, but it does not mention any Pacific Island country in the abstract.",Maybe,"The abstract includes commercial fishing, which is related to fisheries management, but also includes ecotourism and recreational fishing, which are not directly related to fisheries management. However, the paper may still be relevant if it includes a focus on fisheries management as part of the broader marine resource management."," Maybe; The abstract mentions commercial fishing, but it also includes ecotourism and recreational fishing.

ReflectionThe SC allows for broader marine resource management papers to be included if they still focus on fisheries management. The abstract mentions commercial fishing, which is related to fisheries management, but it also includes ecotourism and recreational fishing, which are not directly related to fisheries management.",Maybe,The abstract does not provide enough information to determine whether the study meets the SC for community-based management. Further reading of the full paper may be necessary.," Maybe; The abstract does not explicitly state whether the study is related to community-based management or not. However, it does mention the governance system and the equity level of the actors, which could potentially be related to community-based management.
ReflectionThe SC requires the study to be related to community-based management, which is defined as giving primary responsibility to coastal communities and fishers for managing their coastal resources. While the abstract does not use the language of community-based management explicitly, it does mention the involvement of actors in lobster fishing, ecotourism, and recreational fishing, which could potentially involve community-based management.",No,The paper does not provide any information related to the Screening Criteria.," No; The paper does not mention CBFM or any related terms.
ReflectionThe paper is not related to the Screening Criteria as it does not mention anything on CBFM.",,
26,Participation towards heritage conservation: Case of a fishing community in Langkawi Geopark,"There is an increasing movement towards acceptance of public participation as a logical approach to heritage conservation and sustainable use of natural resources. In conservation initiatives, to ensure effective participation is to see it as a social process. Thus, the importance of community participation and consultation in planning for heritage conservation is emphasised using an example from fishing community involvement in community-based fisheries management in Langkawi. The setting up of cooperative community resource management Komuniti Pengurusan Ekosistem Perikanan (KPEP) is a significant attempt that acknowledges the value of local involvement in natural resource management. It aims to understand local fishers' participation in resource management activities towards heritage conservation. One of the findings revealed that although the resource management activities did not mentioned explicitly the importance of heritage conservation. However it could be assumed that intention for heritage conservation is at the heart of the initiatives. Implicit in such an approach is a sense that local fishers' participation in managing resources would utilise local knowledge gained from past down traditions of previous generations. The application of local knowledge encourages them to become aware of their fishing cultural heritage and to encourage them to conserve it. It is crucial for development activities surrounding the area of KPEP Kuala Teriang are compatible and complementary to the existing activities of fisheries heritage conservation and promotion of social well-being. © 2011 by MIP.",No,No,The abstract does not provide evidence of a case study of CBFM in a Pacific Island country.," No; The abstract does not mention any Pacific Island country.
ReflectionThe abstract talks about community-based fisheries management but does not specify if it is in a Pacific Island country.",Maybe,"The paper may meet the screening criteria as it includes a focus on fisheries management through the case study of a fishing community's involvement in community-based fisheries management in Langkawi. However, it is unclear whether the paper includes broader marine resource management as well."," Maybe; The abstract mentions community-based fisheries management and local fishers' participation in resource management activities, but it is unclear whether the focus is solely on fisheries or broader marine resource management.

ReflectionThe abstract describes a case study of a fishing community's involvement in community-based fisheries management in Langkawi. While the focus is on fisheries management, the abstract also discusses the importance of heritage conservation and sustainable use of natural resources in general. It is possible that the paper includes broader marine resource management, but it is not explicitly stated.",Maybe,"The abstract mentions ""community-based fisheries management"" and ""local involvement in natural resource management,"" but it is unclear whether the management is solely community-led or if there is equal power between government and community in management."," Maybe; The abstract mentions ""community-based fisheries management"" and ""local involvement in natural resource management.""

ReflectionBased on the definition provided, it is unclear whether the study meets the criteria for community-based management. The abstract mentions community involvement in fisheries management, but it is not clear whether this is solely community-led or if there is equal power between government and community in management.",Maybe,"The abstract contains some information that implies the paper might contain information on the benefits of CBFM or barriers to CBFM, but it is not explicit."," Maybe; The abstract mentions community-based fisheries management but does not explicitly state whether it contains information on the benefits of CBFM or barriers to CBFM. 
ReflectionThe abstract talks about the importance of community participation in planning for heritage conservation and mentions the use of local knowledge gained from past down traditions of previous generations. It could be argued that this information implies that the paper contains information on the benefits of CBFM and barriers to CBFM.",,
27,Evolving governance structures in community-based sandfish mariculture and their interactions with livelihood outcomes: Evidence from the Philippines,"Sea cucumber mariculture is an important emerging field of practice and applied research in the coastal tropics. This is due to the existing importance of tropical sea cucumber fisheries for wealth generation and poverty reduction, and the potential for mariculture to contribute to the longer term sustainability of these fisheries while generating benefits additional to those from wild caught sea cucumber. Understanding the optimal institutional arrangements for sea cucumber mariculture is an important area of focus in this field, with a variety of arrangements currently in place. This paper documents the establishment of a communal form of sea ranching in the Philippines, as a case study of community level institutional processes. It describes the background to establishment of the sea ranch in the community of Victory, challenges encountered and how these were managed, and the evolution of governance arrangements. In charting this process, we assess the impacts on livelihood outcomes, highlighting this as a crucial aspect influencing this evolution and the nature of community involvement in the sea ranch. While the sea ranching project generated a range of benefits for livelihoods, including possible spillover effects for the surrounding fishery, substantial economic returns from harvests did not occur. Thus, the system of governing the sea ranch evolved from a communal model to a more exclusive household model primarily to improve operational efficiency. In order for possible benefits of the sea ranch to be sustained and enhanced, greater integration with fisheries management and government support will be needed. Copyright © 2022 Fabinyi, Gorospe, McClean and Juinio-Meñez.",Yes,Maybe,"While the abstract does not specifically mention a Pacific Island country, sea cucumber mariculture is practiced in some Pacific Island countries. Further information is needed to determine if a case study in a Pacific Island country is included in the study."," No; The abstract does not mention any Pacific Island country in relation to the case study.

ReflectionThe abstract discusses a case study in the Philippines, which is not a Pacific Island country. However, it is important to note that sea cucumber mariculture is also practiced in Pacific Island countries.",Yes,"The paper includes a fisheries-related example and discusses the potential benefits and challenges of sea cucumber mariculture, even though the focus is on the establishment of a communal sea ranch and its governance structures."," Maybe; The abstract mentions sea cucumber fisheries and how mariculture can contribute to their sustainability, but the focus is on the establishment of a communal sea ranch and its governance structures.

ReflectionThe abstract mentions sea cucumber fisheries, but the focus of the paper is on the establishment of a communal sea ranch and its governance structures. While the paper may not focus solely on fisheries management, it does include a fisheries-related example and discusses the potential benefits and challenges of sea cucumber mariculture.",Maybe,"While the abstract mentions a communal form of sea ranching, more information is needed to determine if community-based management is present."," Maybe; The abstract mentions a communal form of sea ranching, which could imply community-based management, but more information is needed to determine if it meets the SC.
ReflectionThe abstract describes a communal form of sea ranching, which suggests that there may be community involvement in the management of the sea ranch. However, the abstract does not provide enough information to determine if this meets the definition of community-based management provided in the SC.",Maybe,"The paper discusses the barriers to the CBFM in the context of sea cucumber mariculture, but does not provide information on the benefits of CBFM."," Maybe; The paper discusses the barriers to the CBFM in the context of sea cucumber mariculture. 

ReflectionThe paper focuses on the establishment of a communal form of sea ranching in the Philippines, its challenges, and the evolution of governance arrangements. While it does not discuss the benefits of CBFM, it does highlight the barriers encountered in implementing the sea ranching project.",,
28,Placing Madagascar's marine turtle populations in a regional context using community-based monitoring,"Madagascar is an important foraging ground for marine turtles in the Western Indian Ocean, yet the status of the country's nesting aggregations remains poorly documented. We assess the current status and trend in nesting throughout Madagascar, including data recorded by a community-based monitoring project in the Barren Isles (western Madagascar). We contextualize the findings in comparison with data from Madagascar's closest neighbouring states. Reports indicate that nesting levels have declined at many coastal sites, with no known recordings since 2000 at > 40 nesting sites. We estimate there are a minimum of 1,200 nests per year in Madagascar, with the largest recorded nesting aggregation (< 1,000 nests per year) found on islands off the west and northern coasts. The majority of nesting aggregations, including those recorded by the community-based monitoring project in the Barren Isles, are relatively small, in the order of < 50 nests per year, yet they are potentially important sources of regional genetic diversity. Nesting on many of the islands (e.g. Tromelin, Europa) around Madagascar has increased over the last 20 years, despite the fact that thousands of turtles probably originating from these sites are taken by fishers in the waters of Madagascar annually. We discuss the importance of protecting small nesting populations, and how community-based monitoring could be an important tool for conserving remote and vulnerable populations and building capacity for natural resource management. Copyright © 2016 Fauna & Flora International.",No,No,"The study does not include a case study of CBFM in a Pacific Island country, as it only focuses on Madagascar."," No; The abstract does not mention CBFM or a Pacific Island country.

ReflectionThe abstract only mentions Madagascar, which is not a Pacific Island country. Therefore, it is unlikely that the study includes a case study of CBFM in a Pacific Island country.",No,"Although the paper discusses broader marine resource management, it does not have a specific focus on fisheries-related examples."," No; The paper focuses on marine turtle populations and not on fisheries. 

ReflectionThe paper does not meet the SC since it does not focus on fisheries-related examples but rather on marine turtles. However, the paper does discuss the impact of fishers on turtle populations and the potential for community-based monitoring to assist in natural resource management.",No,"While the abstract mentions a community-based monitoring project, it does not meet the definition of CBM used in the SC as there is no indication of primary responsibility for managing coastal resources."," Maybe; The abstract mentions a community-based monitoring project, but it is unclear if this project includes primary responsibility for managing coastal resources.
ReflectionThe abstract mentions a community-based monitoring project, which could suggest community involvement in monitoring turtle populations. However, there is no clear indication that the project involves primary responsibility for managing coastal resources, which is the definition of CBM used in the SC.",No,The paper does not meet the screening criteria as it does not focus on CBFM.," No; The paper does not seem to focus on CBFM but rather on the status of marine turtles in Madagascar and the use of community-based monitoring.
ReflectionThe paper does not seem to meet the screening criteria as it does not focus on CBFM.",,
29,25th anniversary invited paper trends in development of coastal area management in tropical countries: From central to community orientation,"The development phases of coastal management in tropical countries are described. Precolonial, centralized, community based, and collaborative coastal management are identified as forms of management which have evolved to what today is called integrated coastal management. Centralized management began during colonial times when any attempt at management was orchestrated from the top of government. Community based coastal management, in response to the failures of more centralized approaches, began in the Philippines through several projects, the experience of which spread to other countries in Southeast Asia and to Ecuador in the 1980s. The concept of collaborative management is now accepted as a description of variations in joint management arrangements between government and community or with the private sector stakeholders. It is suggested that collaborative management and integrated coastal management are more or less synonymous. The trends identified within tropical coastal management include interdisciplinary research and management integration, valuing traditional knowledge and management systems, increasing reliance on local participation, and using participation oriented research approaches. It is seen that the capacity for improved coastal management is increasing dramatically with a strong emphasis on training through academe and field learning trials. The authors are positive about current developments in coastal management, while cautioning practitioners that global economics will increasingly impact the use and conservation of coastal resources. A theme is that local government and community accountability in coastal management will help make efforts effective and more sustainable. © 1997 Taylor & Francis.",No,No,The paper does not meet the screening criteria as there is no case study of CBFM in a Pacific Island country mentioned in the title or abstract.," No; There is no mention of CBFM or a Pacific Island country in the title or abstract. 
ReflectionThe title and abstract focus on the development phases of coastal management in tropical countries with a particular emphasis on community-based management. While the abstract mentions Southeast Asian countries and Ecuador, there is no mention of Pacific Island countries or CBFM.",Maybe,"While the abstract does not specifically mention fisheries management, the focus on coastal management and local participation could potentially include fisheries management."," Maybe; The abstract mentions coastal management but does not specifically mention fisheries.
ReflectionThe abstract discusses the different forms of coastal management, including centralized, community-based, and collaborative management, but does not provide any specific examples of fisheries management. However, it does mention the increasing reliance on local participation, which could potentially include fisheries management.",Maybe,"The paper may or may not meet the screening criteria, as it is unclear from the abstract whether it focuses exclusively on community-based management or includes collaborative management as well."," Maybe; The abstract mentions both centralized and community-based management approaches, but it also mentions collaborative management, which may or may not meet the definition of community-based management.
ReflectionThe authors do mention community-based management as a distinct form of coastal management that evolved in response to failures of centralized approaches. However, they also mention collaborative management, which can include joint management arrangements between government and community, but may not always give primary responsibility to the community. It is unclear from the abstract whether the paper focuses exclusively on community-based management or includes collaborative management as well.",Yes,"While the abstract does not explicitly mention community-based fisheries management, it does describe the evolution of management approaches in tropical coastal areas, which could potentially include information on the benefits or barriers to community-based fisheries management."," Yes; The abstract describes the evolution of centralized and community-based coastal management in tropical countries, which could potentially include information on the benefits or barriers to community-based fisheries management.
ReflectionThe abstract provides a historical overview of coastal management in tropical countries, which may or may not include information on community-based fisheries management, depending on the specific focus of the paper.",,
30,Assessment of the changing levels of livelihood assets in the Kampong Phluk community with implications for community-based ecotourism,"In recent years, international attention has been rendered to development of ecotourism for poverty reduction and biodiversity conservation. We assessed local livelihood assets in Kampong Phluk Community before and after the introduction of the community-based ecotourism (CBET) governance system, where it was previously under the private company management system (SEAPAC). We used a sustainable livelihood framework to assess natural, physical, human, social, and financial assets by analyzing a set of panel data of 150 observations according to the scoring scale of zero (total dissatisfaction) to one (total satisfaction). We found that full implementation of CBET raised the overall average score of livelihood assets by 0.15. In particular, physical capital and human capital achieved remarkable growth by 0.25 to 0.23, respectively, while growth in natural capital and financial capital was statistically insignificant. Although CBET showed promising results, improving communication and providing community health care would motivate active participation in ecotourism development. © 2020 Elsevier Ltd",No,No,The paper does not meet the Screening Criteria as it does not include a case study of CBFM in a Pacific Island country.," No; The Abstract does not mention CBFM or any Pacific Island country.
ReflectionThe Abstract mentions ecotourism and local livelihood assets in the Kampong Phluk Community, but it does not directly relate to the Screening Criteria of including a case study of CBFM in a Pacific Island country.",Maybe,"The paper may meet the criteria for inclusion as it uses a sustainable livelihood framework which could potentially include a focus on fisheries management. However, further evaluation of the full text is necessary to determine if it meets the criteria."," No; The paper does not mention fisheries or fisheries management in the Title and Abstract.
ReflectionThe paper focuses on the assessment of the livelihood assets of a community before and after the implementation of ecotourism. While the community is situated in a marine environment, the paper does not specifically mention fisheries or fisheries management. However, it is possible that the paper includes a focus on fisheries management within the framework of sustainable livelihoods.",Maybe,"Without further information on how the CBET system is structured, it is difficult to determine whether it meets the definition of community-based management provided in the SC."," Maybe; The abstract mentions a ""community-based ecotourism (CBET) governance system"" but it is unclear whether this meets the definition of community-based management provided in the SC.
ReflectionThe abstract mentions a ""community-based ecotourism (CBET) governance system"" which suggests that the study may be related to community-based management. However, it is unclear from the abstract whether the CBET system meets the definition of community-based management provided in the SC.",Maybe,"While the paper does not directly relate to CBFM, it is possible that the paper may contain information on the barriers to CBFM."," No; The paper does not seem to be related to CBFM.
ReflectionThe paper is about the assessment of the changing levels of livelihood assets in the Kampong Phluk community with implications for community-based ecotourism. Although the paper does not seem to talk about CBFM, it is possible that the paper may contain information on the barriers to CBFM.",,
