,Title,Abstract,Accept,Accept - SC1: The study must include at least one case study of CBFM in a Pacific Island country,Rationale - SC1: The study must include at least one case study of CBFM in a Pacific Island country,Thoughts - SC1: The study must include at least one case study of CBFM in a Pacific Island country,Accept - SC2: Only studies with fisheries related examples. Papers that refer to broader marine resource management to be included if they still include a focus on fisheries management.,Rationale - SC2: Only studies with fisheries related examples. Papers that refer to broader marine resource management to be included if they still include a focus on fisheries management.,Thoughts - SC2: Only studies with fisheries related examples. Papers that refer to broader marine resource management to be included if they still include a focus on fisheries management.,"Accept - SC3: Only studies related to community-based management (i.e., not government-based management or co-management). The definition of community-based management here is “an approach to fisheries management that gives coastal communities and fishers primary responsibility for managing their coastal resources”. While co-management can include community-led approaches , to minimise reviewer bias and interpretation, please use the language that the authors use in the paper (i.e., if they call it CBM/CBFM, include it. If they refer to it as co-management whereby there is equal power between government and community to manage - don’t include it). ","Rationale - SC3: Only studies related to community-based management (i.e., not government-based management or co-management). The definition of community-based management here is “an approach to fisheries management that gives coastal communities and fishers primary responsibility for managing their coastal resources”. While co-management can include community-led approaches , to minimise reviewer bias and interpretation, please use the language that the authors use in the paper (i.e., if they call it CBM/CBFM, include it. If they refer to it as co-management whereby there is equal power between government and community to manage - don’t include it). ","Thoughts - SC3: Only studies related to community-based management (i.e., not government-based management or co-management). The definition of community-based management here is “an approach to fisheries management that gives coastal communities and fishers primary responsibility for managing their coastal resources”. While co-management can include community-led approaches , to minimise reviewer bias and interpretation, please use the language that the authors use in the paper (i.e., if they call it CBM/CBFM, include it. If they refer to it as co-management whereby there is equal power between government and community to manage - don’t include it). ","Accept - SC4: Only studies that are likely to contain either information on the benefits of CBFM, or barriers the to CBFM. Accept the paper if either criteria is met.","Rationale - SC4: Only studies that are likely to contain either information on the benefits of CBFM, or barriers the to CBFM. Accept the paper if either criteria is met.","Thoughts - SC4: Only studies that are likely to contain either information on the benefits of CBFM, or barriers the to CBFM. Accept the paper if either criteria is met.",Bad Parsing - SC1
21,Sustainable financing of a national Marine Protected Area network in Fiji,"Marine Protected Areas (MPA) are mostly studied from an environmental context. A review of available information identified a lack of knowledge in sustainable mechanisms to finance MPA networks. At the United Nations Ocean Conference in 2017, Fiji reaffirmed its voluntary commitment to make 30% of its inshore and offshore marine area MPAs by 2020 under Sustainable Development Goal 14. The work presented here uses empirical data to explore potential benefits from selected community-based MPAs to recipient local stakeholders. A Willingness to Pay (WTP) and Willingness to Contribute Time (WtCT) method was used to explore the extent to which bottom-up governance systems represent a potential financing mechanism of a MPA network. Results of 115 interviews concluded that proximity to a fishing market, dependence on marine resources, food security, income and international commitments were significant variables influencing stakeholder's WTP and WtCT to manage a MPA. We argue that there is a discrepancy between WtCT and WTP driven by income constraints. Thus, by using WTP and WtCT to support financing of a MPA network, a Provincial Trust Fund (PTF) could promote an equitable and benefits-based contribution. Equally important, a PTF has a polycentric and decentralized governance model, which endorses sustainable management of traditional fishing communities. The conclusions provide insight into a bottom-up approach for long-term financial sustainability of Fiji's national MPA commitments. © 2018 Elsevier Ltd",Yes,Maybe,"While the study does not include a case study of CBFM in a Pacific Island country, it provides valuable insights into the use of a bottom-up approach to finance a MPA network in Fiji, which may be applicable to other Pacific Island countries."," No; The abstract does not mention any case study of CBFM in a Pacific Island country.
ReflectionThe abstract focuses on exploring the potential benefits of using a bottom-up governance system to finance a MPA network in Fiji. While the study does not include a case study of CBFM in a Pacific Island country, it does provide empirical data on the use of a bottom-up approach to finance a MPA network in Fiji.",Maybe,"The abstract does not explicitly state that the study focuses on fisheries management, but the exploration of potential benefits from community-based MPAs may be related to fisheries management."," Maybe; The abstract mentions marine resources and fishing markets but does not explicitly state that the study focuses on fisheries management. 

ReflectionThe abstract mentions the use of empirical data to explore potential benefits from selected community-based MPAs to recipient local stakeholders. Although the abstract does not explicitly state that the study focuses on fisheries management, it is possible that the benefits explored are related to fisheries management.",Yes,"The study explores the potential benefits of selected community-based MPAs and their financing mechanisms through bottom-up governance systems, making it related to CBM."," Maybe; The abstract does not explicitly mention community-based management (CBM) or co-management. However, the study explores bottom-up governance systems and a polycentric and decentralized governance model, which are characteristics of CBM. 
ReflectionThe study does not use the term CBM, but it explores the potential benefits of selected community-based MPAs and their financing mechanisms. The study's focus is on bottom-up governance systems, which is a defining characteristic of CBM.",Yes,The paper explores potential benefits of selected community-based MPAs to local stakeholders and uses a method to explore the extent to which bottom-up governance systems could represent a potential financing mechanism for a MPA network.," Maybe; The abstract does not explicitly state whether it contains information on the benefits of CBFM or barriers to CBFM.
ReflectionUpon re-reading the SC, it is clear that the paper needs to meet at least one of the two criteria. While the abstract doesn't mention CBFM, it does explore financing mechanisms for a Marine Protected Area network, which could potentially include community-based management.",
22,"Scaling up of eco-bio-social strategy to control aedes aegypti in highly vulnerable areas in Fortaleza, Brazil: A cluster, non-randomized controlled trial protocol","Aedes aegypti is a cosmopolitan vector for arboviruses dengue, Zika and chikungunya, disseminated in all Brazilian states. The Eco-Bio-Social (EBS) strategy is vital in Aedes aegypti control as it mobilizes stakeholders (government, professionals, society, and academics) to promote healthy environments. This paper describes the rationale and methods of expanding the EBS strategy for Aedes aegypti control in Fortaleza, Northeast Brazil. A cluster, non-randomized controlled clinical trial was developed to analyze the strategy’s effectiveness in vulnerable territories (high incidence of dengue and violent deaths; low HDI; substandard urban infrastructure, high population density, and water scarcity). We selected two intervention and two control groups, resulting in a sample of ap-proximately 16,000 properties. The intervention consisted of environmental management by sealing large elevated water tanks, introduction of beta fish in waterholes, elimination of potential breeding sites, and mobilization and training of schoolchildren, endemic disease workers, health workers, social mobilizers, and community leaders; community surveillance of arboviruses; construction and validation of a booklet for the prevention of arboviruses in pregnant women. We analyzed the costs of arboviruses to government and households, the intervention cost-effectiveness, chikungunya’s chronicity, and acceptance, sustainability, and governance of vector control actions. The primary outcome (infestation) was analyzed using the house, container, and Breteau indices. We hope that this study will help us understand how to scale up strategies to fight Aedes aegypti in vulnerable areas. © 2021 by the authors. Licensee MDPI, Basel, Switzerland.",No,No,The paper does not meet the screening criteria as it does not include any case study of CBFM in a Pacific Island country.," No; The paper is not about CBFM in a Pacific Island country.
ReflectionThe paper is about the Eco-Bio-Social (EBS) strategy for controlling Aedes aegypti in Fortaleza, Brazil, and does not mention CBFM or any Pacific Island country.",No,The paper does not meet the screening criteria as it does not have any mention of fisheries or marine resource management. The focus is solely on the control of mosquitoes.," No; The paper does not appear to have any mention of fisheries or marine resource management, but rather focuses on the control of Aedes aegypti mosquitoes.
ReflectionThe paper does not meet the screening criteria as it does not have any mention of fisheries or marine resource management. The focus is solely on the control of mosquitoes.",No,The paper is not related to community-based management in fisheries.," No; The paper does not focus on fisheries management or coastal resources.
ReflectionThe paper is not related to community-based management in fisheries, as required by the screening criteria.",No,The paper does not meet the screening criteria as it does not contain any information related to CBFM.," No; The paper does not mention anything related to CBFM.
ReflectionThe paper focuses on the Eco-Bio-Social (EBS) strategy to control the Aedes aegypti mosquito, which is a vector for arboviruses such as dengue, Zika, and chikungunya. The paper does not mention anything about CBFM or its benefits or barriers.",
23,Differential impacts of coral reef herbivores on algal succession in Kenya,"In shallow-water systems, fisheries management influences herbivory, which mediates ecosystem processes by regulating algal biomass, primary production, and competition between benthic organisms, such as algae and corals. Sea urchins and herbivorous fishes (scrapers, grazers, browsers) are the dominant herbivores in Kenya's fringing coral reef and their grazing influences coral-macroalgal dynamics and dominance. Using experimental substrata and grazer exclusions, we tested the hypothesis that herbivores differentially affect algal composition and succession using 3 levels of fisheries management: fished reefs, community-managed closures (&lt;10 yr old, &lt;0.5 km2), and government-managed closures (20 to 40 yr old, 5 to 10 km2). In fished reefs and government closures, herbivores facilitated maintenance of early successional algal species, such as turfs, associated with sea urchins in the former and scraping fishes in the latter. Crustose coralline algae were only abundant in government closures, and video recordings showed that fish grazing was greatest at these sites, most notably for parrotfishes (scrapers). A combination of sea urchins and small grazing and detritivorous fishes was present in community closures, which allowed macroalgae to quickly develop from turf into early then late successional stages. These reefs may represent an intermediate or transitional system of herbivore dominance characterized by macroalgae. Consequently, reefs in heavily fished seascapes initially protected from fishing may require additional management efforts to facilitate the recovery of larger-bodied scraping fishes, including bans on capturing parrotfishes and restricting gear (e.g. spearguns) that target these species. © Inter-Research 2014.",No,No,there is no case study of CBFM in a Pacific Island country mentioned in the paper.," No; the abstract does not mention any Pacific Island country.
ReflectionThe study focuses on the impacts of coral reef herbivores on algal succession in Kenya, which is not a Pacific Island country. The SC requires at least one case study of CBFM in a Pacific Island country.",Yes,"The abstract discusses the impact of herbivores on algal succession in Kenya's fringing coral reef, which is directly related to fisheries management."," Yes; The abstract discusses the impact of herbivores on algal succession in Kenya's fringing coral reef, which is related to fisheries management.

ReflectionThe abstract provides a clear focus on how herbivores affect algal composition and succession in Kenya's fringing coral reef, which is related to fisheries management.",Maybe,It is unclear whether the community-managed closures in this study meet the definition of community-based management.," Maybe; The abstract mentions community-managed closures but does not provide enough information to determine if it meets the definition of community-based management.
ReflectionThe authors mention community-managed closures, which could potentially fit the definition of community-based management. However, the abstract does not provide enough information to determine if the community has primary responsibility for managing the coastal resources.",No,The paper does not have any information on the benefits of CBFM or barriers to CBFM.," No; The paper is about coral reefs and herbivores in Kenya. It does not appear to have any direct connection to Community-Based Forest Management (CBFM).
ReflectionThe paper is not related to CBFM and does not meet the screening criteria.",
24,Characterization of an artisanal fishery in Argentina using the social-ecological systems framework,"Institutional Analysis and Development (IAD) studies how institutions (the rules of the game of a society) determine the performance of a social-economic system. Elinor Ostrom extends the institutional analysis to the collective action for a particular case, the study of the social-ecological systems (SESs) (Ostrom 1990). Any group that attempts to manage a common resource (e.g. aquifers, pastures) for optimal sustainable production must solve a set of problems in order to create institutions to facilitate collective action. Some evidences show that following a set of design principles in creating institutions can lead to overcome these problems. The aim of the paper is to apply the SES framework to an artisanal fishery community in Argentina in order to: 1) describe the principal features, key variables and relations of the small-scale fishery system; 2) detect the principal drivers of a potential common-management and the leading detractors from the current communal performance; and 3) analyze the possibility that a self-governing for sustainable fishery may appear. Several drivers for potential common-management and some detractors from the current common performance are summarized. Artisanal fishery SES is currently at a bifurcation point. A common historical and cultural root, the presence of leaderships, the relevance of local knowledge, the dependence on the resource to sustainable livelihoods and the threat of big-scale fisheries area have generated incentives to collectiveaction. But, simultaneously, internal conflicts are the most important barrier for an integrated community-based management. The heterogeneity among actors and the relevant external conditions have resulted in two groups diverging in their self-organization. The work is framed by the project COMET-LA (COmmunitybased Management of Environmental challenges in Latin America; European Commission’s Seventh Framework Programme of Research and Development), which aims to identify sustainable community-based governance for the management of natural resources that can be used in different social-ecological systems in a context of climate change and increasing competition in the use of resources. © 2017, Igitur, Utrecht Publishing and Archiving Services. All rights reserved.",No,No,The paper does not include a case study of CBFM in a Pacific Island country.," No; The paper's title and abstract do not mention any Pacific Island countries or CBFM.

ReflectionThe study must focus on a Pacific Island country as well as CBFM, which stands for community-based fisheries management. The paper's title and abstract do not indicate that it meets this criterion.",Maybe,"While the paper focuses on an artisanal fishery in Argentina, it is unclear whether the paper solely discusses fisheries management or includes broader marine resource management."," Maybe; The abstract mentions an artisanal fishery in Argentina, but it is unclear whether the paper focuses solely on fisheries management or includes broader marine resource management.

ReflectionThe abstract mentions the study of a social-ecological system in an artisanal fishery community in Argentina. While the focus of the paper seems to be on the management of the fishery, it is possible that broader marine resource management is also discussed.",Maybe,"While the abstract does not explicitly mention community-based management or its alternative forms, the discussion of a self-governing system for sustainable fishery could be interpreted as community-based management."," Maybe; The abstract does not explicitly mention community-based management or its alternative forms, but it does discuss the possibility of a self-governing for sustainable fishery.

ReflectionThe abstract does not mention community-based management or co-management. However, it does discuss the possibility of a self-governing system for sustainable fishery, which could be interpreted as community-based management.",No,The paper does not meet the screening criteria as it does not contain any information related to CBFM or its barriers.," No; The paper does not mention CBFM or any related terms.
ReflectionThe paper is focused on the Social-Ecological Systems Framework applied to an artisanal fishery community in Argentina.",
25,Application of the Ostrom framework in the analysis of a social-ecological system with multiple resources in a marine protected area,"The framework proposed by Ostrom (2009) has become one of the most utilized tools to address the complexity of social-ecological systems. Most cases use this framework to analyze the systems from the perspective of a single resource unit. However, the livelihoods in several coastal communities are diverse, so that the users interact with multiple common-pool resources, which makes their analysis difficult. In this sense, it is important to identify the key elements of management to achieve the sustainable use of the resources. In this study, we were able to do this in a coastal community where commercial fishing, ecotourism, and recreational fishing coexist. The system of interest, located in the state of Quintana Roo, Mexico, was subdivided by resource type using a multi-method approach to data collection including surveys, interviews, and records review. A conceptual map was developed that shows how the second-tier variables are integrated through the governance and actors with the biophysical system. The actors involved in lobster fishing achieved a more complex governance system, followed by the ecotourism and recreational fishing; the complexity of the governance was related with the equity level of the actors. The analysis revealed the research gaps to develop management strategies and improve the sustainability of the system. Copyright © 2019 Palomo and Hernández-Flores.",No,No,The study does not meet the screening criteria as it does not include any case study of CBFM in a Pacific Island country.," No; The abstract does not mention any Pacific Island country, or CBFM.
ReflectionThe abstract provides information about the application of the Ostrom framework in a social-ecological system with multiple resources in a marine protected area. However, it does not mention anything about CBFM or Pacific Island countries.",No,"While the abstract mentions fishing as one of the common-pool resources, the main focus of the study is not on fisheries management and there is not enough evidence to suggest that the paper meets the screening criteria."," Maybe; The abstract mentions commercial fishing and recreational fishing, but it is unclear if fisheries management is the main focus.

ReflectionThe abstract mentions multiple common-pool resources including fishing, but the focus seems to be on the complexity of social-ecological systems and identifying key elements of management for sustainable use of resources.",Maybe,"The abstract does not explicitly state whether the study is related to community-based management, but it does analyze the governance system and actors involved in managing multiple common-pool resources, which could potentially include community-based management."," Maybe; The abstract does not explicitly mention community-based management, but it does mention the governance system and actors involved in managing multiple common-pool resources.
ReflectionThe study does not specifically mention community-based management, but it does analyze the governance system and actors involved in managing multiple resources, which could potentially include community-based management.",Maybe,"The paper may contain information on the benefits of CBFM indirectly through the sustainable use of resources. However, it does not directly address CBFM or its barriers."," Maybe; The abstract does not directly mention CBFM but it does mention sustainable use of resources.
ReflectionThe abstract is focused on analyzing a social-ecological system with multiple resources. While it does not mention CBFM specifically, sustainable use of resources may be related to CBFM.",
26,Participation towards heritage conservation: Case of a fishing community in Langkawi Geopark,"There is an increasing movement towards acceptance of public participation as a logical approach to heritage conservation and sustainable use of natural resources. In conservation initiatives, to ensure effective participation is to see it as a social process. Thus, the importance of community participation and consultation in planning for heritage conservation is emphasised using an example from fishing community involvement in community-based fisheries management in Langkawi. The setting up of cooperative community resource management Komuniti Pengurusan Ekosistem Perikanan (KPEP) is a significant attempt that acknowledges the value of local involvement in natural resource management. It aims to understand local fishers' participation in resource management activities towards heritage conservation. One of the findings revealed that although the resource management activities did not mentioned explicitly the importance of heritage conservation. However it could be assumed that intention for heritage conservation is at the heart of the initiatives. Implicit in such an approach is a sense that local fishers' participation in managing resources would utilise local knowledge gained from past down traditions of previous generations. The application of local knowledge encourages them to become aware of their fishing cultural heritage and to encourage them to conserve it. It is crucial for development activities surrounding the area of KPEP Kuala Teriang are compatible and complementary to the existing activities of fisheries heritage conservation and promotion of social well-being. © 2011 by MIP.",Yes,Maybe,"While the abstract mentions a case study on community-based fisheries management (CBFM) in a fishing community, it is not clear whether the study takes place in a Pacific Island country."," No; The abstract mentions a fishing community and community-based fisheries management (CBFM), but it is not clear whether the case study takes place in a Pacific Island country.

ReflectionThe abstract provides information on the importance of community participation in heritage conservation and mentions an example from a fishing community in Langkawi. However, it does not provide enough information to determine whether the case study takes place in a Pacific Island country.",Maybe,"While the paper does mention community-based fisheries management, it is not clear if the focus is solely on fisheries or includes broader marine resource management. However, the emphasis on local knowledge and cultural heritage in managing resources suggests a potential overlap with broader marine resource management."," Maybe; The abstract mentions community-based fisheries management in Langkawi, but it is not clear if the focus is solely on fisheries or broader marine resource management.

ReflectionThe abstract talks about community-based fisheries management, which suggests a focus on fisheries. However, it also talks about the importance of local knowledge and cultural heritage in managing resources, which could potentially include broader marine resource management.",Maybe,"The language used in the abstract is not clear enough to determine whether it fits the given definition of community-based management. Without more information about KPEP, it is difficult to confirm if it meets the screening criteria."," Maybe; The abstract mentions ""community-based fisheries management"", but there is no clear definition or explanation of whether it aligns with the given definition. 

ReflectionThe language used in the abstract is not clear enough to determine whether it fits the given definition of community-based management. It is necessary to have more information about the ""cooperative community resource management Komuniti Pengurusan Ekosistem Perikanan (KPEP)"" mentioned in the abstract.",Yes,The paper meets the screening criteria as it contains information on the benefits of CBFM for heritage conservation.," Yes; The abstract mentions community-based fisheries management (CBFM) and the participation of local fishers in resource management activities for heritage conservation.
ReflectionThe abstract clearly mentions community participation in resource management activities for heritage conservation, which meets the screening criteria.",
27,Evolving governance structures in community-based sandfish mariculture and their interactions with livelihood outcomes: Evidence from the Philippines,"Sea cucumber mariculture is an important emerging field of practice and applied research in the coastal tropics. This is due to the existing importance of tropical sea cucumber fisheries for wealth generation and poverty reduction, and the potential for mariculture to contribute to the longer term sustainability of these fisheries while generating benefits additional to those from wild caught sea cucumber. Understanding the optimal institutional arrangements for sea cucumber mariculture is an important area of focus in this field, with a variety of arrangements currently in place. This paper documents the establishment of a communal form of sea ranching in the Philippines, as a case study of community level institutional processes. It describes the background to establishment of the sea ranch in the community of Victory, challenges encountered and how these were managed, and the evolution of governance arrangements. In charting this process, we assess the impacts on livelihood outcomes, highlighting this as a crucial aspect influencing this evolution and the nature of community involvement in the sea ranch. While the sea ranching project generated a range of benefits for livelihoods, including possible spillover effects for the surrounding fishery, substantial economic returns from harvests did not occur. Thus, the system of governing the sea ranch evolved from a communal model to a more exclusive household model primarily to improve operational efficiency. In order for possible benefits of the sea ranch to be sustained and enhanced, greater integration with fisheries management and government support will be needed. Copyright © 2022 Fabinyi, Gorospe, McClean and Juinio-Meñez.",No,No,The abstract does not meet the SC because it does not include a case study of CBFM in a Pacific Island country.," No; The abstract does not mention any Pacific Island country or CBFM.
ReflectionThe abstract focuses on sea cucumber mariculture and its impact on livelihoods. While the study's subject is important, it does not meet the SC criteria of including a case study of CBFM in a Pacific Island country.",Maybe,"While the focus of the paper is on sea cucumber mariculture and community-based institutional processes, it does mention fisheries management and sea cucumber fisheries which could be considered a fisheries-related example."," Maybe; The abstract mentions sea cucumber fisheries and fisheries management, but the focus is on sea cucumber mariculture and community-based institutional processes.
ReflectionThe abstract mentions sea cucumber fisheries, which could be considered a fisheries-related example. However, the focus of the paper is on sea cucumber mariculture and community-based institutional processes, which may not meet the exact criteria of the SC.",Maybe,"Without additional information, it is uncertain whether the study meets the criteria for community-based management."," Maybe; The abstract does not provide enough information to determine if the study is community-based management or government-based management.
ReflectionThe abstract discusses the establishment of a communal form of sea ranching in the Philippines, but it is unclear whether the community has primary responsibility for managing their coastal resources.",No,The paper does not meet the screening criteria because it does not mention CBFM.," No; The paper does not mention CBFM, so it does not meet the screening criteria.
ReflectionThe paper does not relate to CBFM, and thus does not meet the screening criteria.",
28,Placing Madagascar's marine turtle populations in a regional context using community-based monitoring,"Madagascar is an important foraging ground for marine turtles in the Western Indian Ocean, yet the status of the country's nesting aggregations remains poorly documented. We assess the current status and trend in nesting throughout Madagascar, including data recorded by a community-based monitoring project in the Barren Isles (western Madagascar). We contextualize the findings in comparison with data from Madagascar's closest neighbouring states. Reports indicate that nesting levels have declined at many coastal sites, with no known recordings since 2000 at > 40 nesting sites. We estimate there are a minimum of 1,200 nests per year in Madagascar, with the largest recorded nesting aggregation (< 1,000 nests per year) found on islands off the west and northern coasts. The majority of nesting aggregations, including those recorded by the community-based monitoring project in the Barren Isles, are relatively small, in the order of < 50 nests per year, yet they are potentially important sources of regional genetic diversity. Nesting on many of the islands (e.g. Tromelin, Europa) around Madagascar has increased over the last 20 years, despite the fact that thousands of turtles probably originating from these sites are taken by fishers in the waters of Madagascar annually. We discuss the importance of protecting small nesting populations, and how community-based monitoring could be an important tool for conserving remote and vulnerable populations and building capacity for natural resource management. Copyright © 2016 Fauna & Flora International.",No,No,The abstract does not meet the SC because it does not include a case study of CBFM in a Pacific Island country.," No; The study does not mention or focus on Pacific Island countries. 

ReflectionThe SC requires a case study of CBFM in a Pacific Island country to be included in the study. The abstract does not mention any Pacific Island country or CBFM, so it does not meet the SC.",Maybe,"While the paper does not focus on fisheries management, it may still be relevant to broader marine resource management, which is included in the SC. The paper may provide insights into how community-based monitoring can be used to conserve vulnerable marine species impacted by fisheries activities."," No; The abstract discusses marine turtle populations and community-based monitoring, but there is no mention of fisheries management.
ReflectionThe abstract focuses on nesting aggregations of marine turtles in Madagascar and the use of community-based monitoring to assess their status and trends. While the paper does not directly address fisheries management, it may still be relevant to broader marine resource management as marine turtles are often impacted by fisheries activities.",Maybe,"While the study does not focus solely on community-based fisheries management, it does discuss the role of community-based monitoring in natural resource management and conservation, which may include fisheries management."," Maybe; The abstract mentions a community-based monitoring project, but it is unclear if it is related to fisheries management or if it is the main focus of the study. 

ReflectionThe study does not explicitly mention fisheries management, but it does discuss the importance of community-based monitoring in conservation and natural resource management. The community-based monitoring project is mentioned as a tool for conserving remote and vulnerable populations and building capacity for natural resource management, which could potentially include fisheries management.",No,The paper does not meet the screening criteria as it does not contain information on the benefits or barriers of CBFM.," No; The paper does not seem to be related to the benefits or barriers of CBFM. 
ReflectionThe paper is about marine turtle populations in Madagascar and their current status and trends in nesting. This does not seem to be related to the benefits or barriers of CBFM.",
29,25th anniversary invited paper trends in development of coastal area management in tropical countries: From central to community orientation,"The development phases of coastal management in tropical countries are described. Precolonial, centralized, community based, and collaborative coastal management are identified as forms of management which have evolved to what today is called integrated coastal management. Centralized management began during colonial times when any attempt at management was orchestrated from the top of government. Community based coastal management, in response to the failures of more centralized approaches, began in the Philippines through several projects, the experience of which spread to other countries in Southeast Asia and to Ecuador in the 1980s. The concept of collaborative management is now accepted as a description of variations in joint management arrangements between government and community or with the private sector stakeholders. It is suggested that collaborative management and integrated coastal management are more or less synonymous. The trends identified within tropical coastal management include interdisciplinary research and management integration, valuing traditional knowledge and management systems, increasing reliance on local participation, and using participation oriented research approaches. It is seen that the capacity for improved coastal management is increasing dramatically with a strong emphasis on training through academe and field learning trials. The authors are positive about current developments in coastal management, while cautioning practitioners that global economics will increasingly impact the use and conservation of coastal resources. A theme is that local government and community accountability in coastal management will help make efforts effective and more sustainable. © 1997 Taylor & Francis.",No,No,The paper does not meet the screening criteria as it does not include a case study of CBFM in a Pacific Island country.," No; There is no mention of CBFM or Pacific Island countries in the title or abstract.
ReflectionThe title and abstract provide a broad overview of the development phases of coastal management in tropical countries, but there is no specific mention of CBFM or Pacific Island countries.",Maybe,"While the abstract does not focus solely on fisheries management, it does mention aspects that could be relevant to fisheries management such as local participation and accountability."," No; The abstract mainly focuses on coastal management and does not mention any specific examples related to fisheries management.
ReflectionThe abstract describes the development of coastal management in tropical countries, and while it mentions the evolution of different management approaches, it does not specifically focus on fisheries management. However, it does mention the importance of local participation and accountability, which could potentially be relevant to fisheries management.",Maybe,"While the paper discusses community-based management, it is not the sole focus. The paper also discusses centralized and collaborative management, so it may not meet the screening criteria."," Maybe; The abstract discusses centralized, community-based, and collaborative coastal management, but it is not clear if the focus is solely on community-based management.
ReflectionThe paper discusses community-based management as one of the forms of coastal management. However, it also discusses other forms such as centralized and collaborative management. It is not clear if the paper solely focuses on community-based management.",No,The article does not meet the screening criteria since it does not discuss CBFM.," No; The article discusses the trends in coastal area management in tropical countries. 
ReflectionThe article is not focused on CBFM, and only mentions coastal management in passing. Therefore, it does not meet the screening criteria.",
30,Assessment of the changing levels of livelihood assets in the Kampong Phluk community with implications for community-based ecotourism,"In recent years, international attention has been rendered to development of ecotourism for poverty reduction and biodiversity conservation. We assessed local livelihood assets in Kampong Phluk Community before and after the introduction of the community-based ecotourism (CBET) governance system, where it was previously under the private company management system (SEAPAC). We used a sustainable livelihood framework to assess natural, physical, human, social, and financial assets by analyzing a set of panel data of 150 observations according to the scoring scale of zero (total dissatisfaction) to one (total satisfaction). We found that full implementation of CBET raised the overall average score of livelihood assets by 0.15. In particular, physical capital and human capital achieved remarkable growth by 0.25 to 0.23, respectively, while growth in natural capital and financial capital was statistically insignificant. Although CBET showed promising results, improving communication and providing community health care would motivate active participation in ecotourism development. © 2020 Elsevier Ltd",No,Maybe,"The abstract does not mention CBFM specifically, but it does mention the introduction of a community-based ecotourism governance system in the Kampong Phluk Community. It is possible that this governance system includes elements of CBFM, and it is possible that Kampong Phluk is located in a Pacific Island country. However, we cannot be certain without further information."," No; The abstract does not mention anything about CBFM in a Pacific Island country.
ReflectionThe abstract does not mention anything about CBFM, but it does mention community-based ecotourism (CBET). It is possible that the study includes a case study of CBET in a Pacific Island country, but we cannot be certain.",Yes,"The use of the sustainable livelihood framework in the study suggests a possible link to fisheries management, even though the paper does not explicitly mention it."," Yes; The abstract does not mention fisheries management but it refers to the sustainable livelihood framework which is used in fisheries management. 

ReflectionThe sustainable livelihood framework is a tool used in fisheries management to assess the impact of interventions on the livelihoods of fisherfolk.",Maybe,"Although the paper does not explicitly state that the CBET governance system is community-based management, the results suggest that it has resulted in an improvement in livelihood assets, indicating a possible community-led approach."," Maybe; The paper mentions the introduction of a community-based ecotourism (CBET) governance system, but it is not clear whether the coastal communities and fishers have primary responsibility for managing their coastal resources.
ReflectionThe paper does not explicitly define the CBET governance system as community-based management, but it does suggest that the introduction of CBET has resulted in an improvement in livelihood assets. Therefore, it is possible that the CBET governance system involves some level of community-based management.",No,The paper does not meet the Screening Criteria as it does not contain any information about CBFM.," No; The paper does not seem to be about CBFM at all.
ReflectionThe paper is talking about community-based ecotourism and the effects of its introduction on livelihood assets in a specific community. There is no mention of CBFM in the title or abstract.",
